zone_num;start_date;end_date;min_price;max_price;price_range_pct;breakout_direction;trade_result;trade_pnl_r;r_multiple;trading_score;candles_in_zone;duration_hours
1;2025-11-08 17:50;2025-11-08 19:05;102273,90;102419,40;0,14;DOWN;WIN;2,0;7,12;83;16;1,2
2;2025-11-16 01:10;2025-11-16 04:25;95854,60;96000,00;0,15;UP;WIN;2,0;4,09;54;40;3,2
3;2025-11-27 03:35;2025-11-27 04:15;91299,90;91495,10;0,21;UP;WIN;2,0;2,09;79;9;0,7
4;2025-11-27 23:20;2025-11-28 00:40;91253,70;91445,00;0,21;UP;LOSS;-1,0;6,04;42;17;1,3
5;2025-11-28 22:20;2025-11-29 00:15;90605,00;90780,50;0,19;UP;LOSS;-1,0;0,66;29;24;1,9
6;2025-11-29 00:20;2025-11-29 01:15;90679,50;90895,50;0,24;DOWN;LOSS;-1,0;1,93;52;12;0,9
7;2025-11-29 04:20;2025-11-29 06:50;90453,90;90582,80;0,14;UP;WIN;2,0;4,24;65;31;2,5
8;2025-11-29 08:20;2025-11-29 10:15;90615,10;90787,50;0,19;UP;LOSS;-1,0;1,98;40;24;1,9
9;2025-11-29 19:00;2025-11-29 20:00;90731,80;90908,10;0,19;UP;LOSS;-1,0;3,87;57;13;1,0
10;2025-11-29 20:05;2025-11-29 21:35;90870,00;91031,80;0,18;DOWN;WIN;2,0;2,84;71;19;1,5
11;2025-11-29 22:45;2025-11-29 23:55;90821,00;90940,00;0,13;DOWN;LOSS;-1,0;1,67;58;15;1,2
12;2025-11-30 00:10;2025-11-30 01:20;90622,00;90766,60;0,16;UP;WIN;2,0;8,28;69;15;1,2
13;2025-11-30 01:25;2025-11-30 03:00;90810,50;90900,00;0,10;UP;WIN;2,0;11,88;72;20;1,6
14;2025-11-30 13:35;2025-11-30 16:00;91284,00;91442,00;0,17;DOWN;WIN;2,0;36,23;87;30;2,4
15;2025-12-06 00:10;2025-12-06 03:20;89466,90;89673,60;0,23;DOWN;LOSS;-1,0;1,47;57;39;3,2
16;2025-12-06 05:30;2025-12-06 06:35;89405,90;89537,00;0,15;UP;WIN;2,0;5,32;83;14;1,1
17;2025-12-06 06:40;2025-12-06 09:15;89500,20;89688,80;0,21;UP;WIN;2,0;2,44;79;32;2,6
18;2025-12-06 12:20;2025-12-06 14:05;89560,00;89809,00;0,28;DOWN;WIN;2,0;2,81;63;22;1,8
19;2025-12-06 15:20;2025-12-06 17:40;89351,90;89518,90;0,19;DOWN;WIN;2,0;2,95;61;29;2,3
20;2025-12-06 20:10;2025-12-06 22:35;89309,70;89558,50;0,28;UP;LOSS;-1,0;0,77;43;30;2,4
21;2025-12-06 23:20;2025-12-07 02:15;89434,20;89657,20;0,25;DOWN;WIN;2,0;7,87;53;36;2,9
22;2025-12-07 06:15;2025-12-07 07:40;89090,00;89226,30;0,15;UP;WIN;2,0;18,34;78;18;1,4
23;2025-12-08 04:20;2025-12-08 05:30;91861,10;92049,00;0,20;UP;LOSS;-1,0;0,72;30;15;1,2
24;2025-12-10 00:10;2025-12-10 04:15;92462,00;92685,20;0,24;DOWN;LOSS;-1,0;4,38;53;50;4,1
25;2025-12-11 00:35;2025-12-11 03:25;90122,90;90300,00;0,20;DOWN;LOSS;-1,0;5,22;58;35;2,8
26;2025-12-11 06:25;2025-12-11 07:50;90160,00;90294,60;0,15;DOWN;WIN;2,0;7,14;79;18;1,4
27;2025-12-11 23:10;2025-12-11 23:50;92084,00;92231,70;0,16;UP;LOSS;-1,0;3,09;32;9;0,7
28;2025-12-12 05:05;2025-12-12 06:10;92375,00;92600,00;0,24;DOWN;WIN;2,0;13,15;78;14;1,1
29;2025-12-12 06:45;2025-12-12 10:05;92184,20;92379,20;0,21;DOWN;WIN;2,0;14,19;71;41;3,3
30;2025-12-12 17:05;2025-12-12 21:10;90143,80;90381,80;0,26;DOWN;LOSS;-1,0;-0,04;24;50;4,1
31;2025-12-12 21:15;2025-12-12 22:20;90160,30;90267,30;0,12;UP;WIN;2,0;3,01;58;14;1,1
32;2025-12-12 22:25;2025-12-13 01:15;90264,40;90428,50;0,18;DOWN;LOSS;-1,0;2,32;35;35;2,8
33;2025-12-13 01:50;2025-12-13 03:15;90280,90;90346,70;0,07;UP;WIN;2,0;3,69;59;18;1,4
34;2025-12-13 03:30;2025-12-13 07:35;90330,00;90513,20;0,20;DOWN;WIN;2,0;2,43;83;50;4,1
35;2025-12-13 08:25;2025-12-13 10:05;90158,70;90295,00;0,15;DOWN;WIN;2,0;3,27;65;21;1,7
36;2025-12-13 10:10;2025-12-13 14:15;89993,00;90149,20;0,17;UP;LOSS;-1,0;1,87;68;50;4,1
37;2025-12-13 14:25;2025-12-13 15:50;90088,00;90197,20;0,12;DOWN;WIN;2,0;3,44;97;18;1,4
38;2025-12-13 17:45;2025-12-13 18:40;90014,60;90174,90;0,18;UP;LOSS;-1,0;1,66;32;12;0,9
39;2025-12-13 19:30;2025-12-13 23:35;90223,50;90440,70;0,24;DOWN;WIN;2,0;7,30;77;50;4,1
40;2025-12-14 00:20;2025-12-14 04:25;90002,80;90188,00;0,21;DOWN;WIN;2,0;8,50;82;50;4,1
41;2025-12-14 04:30;2025-12-14 05:30;89947,00;90077,60;0,15;DOWN;WIN;2,0;11,62;70;13;1,0
42;2025-12-15 04:10;2025-12-15 06:35;89738,80;89914,60;0,20;DOWN;WIN;2,0;26,50;78;30;2,4
43;2025-12-18 01:55;2025-12-18 03:20;86513,70;86838,80;0,38;UP;WIN;2,0;8,14;65;18;1,4
44;2025-12-19 20:00;2025-12-19 21:40;87959,90;88132,30;0,20;UP;WIN;2,0;2,36;82;21;1,7
45;2025-12-19 22:05;2025-12-20 00:20;88126,80;88299,60;0,20;UP;LOSS;-1,0;1,39;50;28;2,2
46;2025-12-20 01:25;2025-12-20 02:30;88222,00;88362,60;0,16;DOWN;LOSS;-1,0;3,43;37;14;1,1
47;2025-12-20 02:40;2025-12-20 05:45;88136,20;88339,90;0,23;DOWN;LOSS;-1,0;1,95;39;38;3,1
48;2025-12-20 06:10;2025-12-20 10:15;88058,40;88265,00;0,23;DOWN;LOSS;-1,0;0,40;39;50;4,1
49;2025-12-20 10:20;2025-12-20 14:00;87975,50;88167,50;0,22;UP;LOSS;-1,0;1,30;50;45;3,7
50;2025-12-20 14:05;2025-12-20 17:05;88180,00;88287,90;0,12;DOWN;LOSS;-1,0;3,40;60;37;3,0
51;2025-12-20 17:10;2025-12-20 18:40;88093,20;88260,50;0,19;UP;LOSS;-1,0;0,83;33;19;1,5
52;2025-12-20 18:45;2025-12-20 20:25;88253,90;88399,40;0,16;DOWN;WIN;2,0;3,03;88;21;1,7
53;2025-12-20 22:55;2025-12-21 03:00;88003,90;88117,20;0,13;UP;WIN;2,0;8,20;91;50;4,1
54;2025-12-21 06:15;2025-12-21 08:00;88530,10;88721,00;0,22;DOWN;WIN;2,0;5,22;72;22;1,8
55;2025-12-21 13:45;2025-12-21 16:40;88228,10;88488,70;0,30;DOWN;LOSS;-1,0;1,47;52;36;2,9
56;2025-12-21 17:15;2025-12-21 18:00;88201,40;88433,80;0,26;UP;WIN;2,0;5,05;75;10;0,8
57;2025-12-23 04:45;2025-12-23 06:05;87413,70;87595,40;0,21;UP;LOSS;-1,0;3,60;34;17;1,3
58;2025-12-23 22:05;2025-12-24 02:10;86800,10;87300,00;0,58;DOWN;LOSS;-1,0;0,87;51;50;4,1
59;2025-12-24 03:55;2025-12-24 05:05;86701,60;86848,00;0,17;UP;WIN;2,0;5,56;78;15;1,2
60;2025-12-24 06:15;2025-12-24 09:30;87151,20;87328,80;0,20;DOWN;WIN;2,0;4,44;79;40;3,2
61;2025-12-24 13:20;2025-12-24 14:45;87352,40;87485,60;0,15;UP;WIN;2,0;4,11;74;18;1,4
62;2025-12-24 14:50;2025-12-24 16:25;87494,90;87649,60;0,18;UP;WIN;2,0;2,48;64;20;1,6
63;2025-12-24 18:15;2025-12-24 21:40;87550,00;87796,80;0,28;UP;LOSS;-1,0;0,59;55;42;3,4
64;2025-12-24 21:55;2025-12-25 00:00;87740,00;87894,30;0,18;DOWN;WIN;2,0;3,48;82;26;2,1
65;2025-12-25 00:05;2025-12-25 02:50;87612,70;87749,40;0,16;UP;LOSS;-1,0;5,97;53;34;2,8
66;2025-12-25 04:05;2025-12-25 05:25;87400,00;87515,90;0,13;DOWN;LOSS;-1,0;1,70;33;17;1,3
67;2025-12-25 05:45;2025-12-25 08:40;87255,40;87514,70;0,30;UP;WIN;2,0;4,05;57;36;2,9
68;2025-12-25 12:50;2025-12-25 15:15;88089,00;88280,00;0,22;DOWN;WIN;2,0;6,67;74;30;2,4
69;2025-12-25 15:20;2025-12-25 18:20;87601,80;88036,50;0,50;DOWN;LOSS;-1,0;1,81;62;37;3,0
70;2025-12-26 04:05;2025-12-26 06:30;88609,20;88836,20;0,26;DOWN;LOSS;-1,0;8,77;35;30;2,4
71;2025-12-26 07:20;2025-12-26 08:30;88582,30;88725,90;0,16;UP;WIN;2,0;2,39;78;15;1,2
72;2025-12-26 16:20;2025-12-26 18:35;87405,50;87604,00;0,23;DOWN;LOSS;-1,0;1,03;45;28;2,2
73;2025-12-26 18:55;2025-12-26 20:30;87200,10;87361,20;0,18;UP;WIN;2,0;1,92;78;20;1,6
74;2025-12-26 21:10;2025-12-26 22:40;87359,20;87442,20;0,10;UP;WIN;2,0;2,74;50;19;1,5
75;2025-12-27 00:50;2025-12-27 03:15;87400,50;87526,80;0,14;UP;LOSS;-1,0;0,86;46;30;2,4
76;2025-12-27 04:15;2025-12-27 05:30;87495,20;87631,90;0,16;DOWN;LOSS;-1,0;1,66;53;16;1,2
77;2025-12-27 05:35;2025-12-27 09:40;87328,00;87499,80;0,20;UP;WIN;2,0;2,44;69;50;4,1
78;2025-12-27 09:45;2025-12-27 13:50;87441,20;87521,00;0,09;UP;WIN;2,0;5,48;78;50;4,1
79;2025-12-27 18:00;2025-12-27 18:45;87515,90;87678,30;0,19;UP;WIN;2,0;1,72;78;10;0,8
80;2025-12-27 20:00;2025-12-28 00:05;87694,00;87927,00;0,27;DOWN;LOSS;-1,0;0,56;54;50;4,1
81;2025-12-28 00:55;2025-12-28 01:35;87583,90;87705,10;0,14;UP;WIN;2,0;2,96;68;9;0,7
82;2025-12-28 02:00;2025-12-28 03:00;87635,90;87699,90;0,07;UP;WIN;2,0;5,69;78;13;1,0
83;2025-12-28 03:25;2025-12-28 07:30;87722,70;87942,40;0,25;UP;LOSS;-1,0;0,55;57;50;4,1
84;2025-12-28 08:40;2025-12-28 11:20;87841,10;87960,20;0,14;DOWN;WIN;2,0;3,99;54;33;2,7
85;2025-12-28 13:00;2025-12-28 17:05;87450,10;87733,20;0,32;UP;WIN;2,0;9,50;82;50;4,1
86;2025-12-29 16:05;2025-12-29 20:10;87186,00;87337,90;0,17;DOWN;WIN;2,0;2,68;77;50;4,1
87;2025-12-30 00:20;2025-12-30 01:10;87090,90;87261,70;0,20;UP;WIN;2,0;6,53;67;11;0,8
88;2025-12-30 01:20;2025-12-30 03:00;87300,30;87481,10;0,21;UP;WIN;2,0;10,46;88;21;1,7
89;2025-12-30 06:00;2025-12-30 09:45;87857,40;87991,90;0,15;UP;WIN;2,0;10,27;80;46;3,8
90;2025-12-30 18:10;2025-12-30 19:05;88384,80;88553,20;0,19;DOWN;LOSS;-1,0;1,53;40;12;0,9
91;2025-12-30 19:15;2025-12-30 20:15;88220,40;88431,30;0,24;UP;WIN;2,0;1,98;58;13;1,0
92;2025-12-30 22:25;2025-12-31 02:30;88340,10;88562,10;0,25;UP;WIN;2,0;2,85;77;50;4,1
