2026-01-22 13:28:04 | SENT | HTTP 200 | BTCUSDT | Double Top (ABRIR SHORT) | $89325.60 | 39.6%
2026-01-22 13:58:05 | SENT | HTTP 200 | BTCUSDT | Double Bottom (ABRIR LONG) | $88462.30 | 38.2%
2026-01-22 15:29:01 | SENT | HTTP 200 | TRBUSDT | Double Top (ABRIR SHORT) | $20.07 | 59.6%
2026-01-22 15:46:02 | SENT | HTTP 200 | BTCUSDT | Double Top (ABRIR SHORT) | $89580.00 | 67.0%
2026-01-22 17:11:03 | SENT | HTTP 200 | ETHUSDT | Double Top (ABRIR SHORT) | $2949.10 | 84.9%
2026-01-22 17:41:04 | SENT | HTTP 200 | ETHUSDT | Double Bottom (ABRIR LONG) | $2939.17 | 63.6%
2026-01-22 17:46:02 | SENT | HTTP 200 | BTCUSDT | Double Top (ABRIR SHORT) | $89883.90 | 30.3%
2026-01-22 19:40:15 | SENT | HTTP 200 | ADAUSDT | Double Top (ABRIR SHORT) | $0.36 | 85.0%
2026-01-22 19:41:08 | SENT | HTTP 200 | DOGEUSDT | Double Top (ABRIR SHORT) | $0.13 | 72.7%
2026-01-22 19:42:23 | SENT | HTTP 200 | GALAUSDT | Double Top (ABRIR SHORT) | $0.01 | 77.0%
2026-01-22 19:43:04 | SENT | HTTP 200 | TRBUSDT | Double Top (ABRIR SHORT) | $20.25 | 84.2%
2026-01-22 19:45:06 | SENT | HTTP 200 | SOLUSDT | Double Top (ABRIR SHORT) | $129.70 | 79.0%
2026-01-22 19:46:03 | SENT | HTTP 200 | SUIUSDT | Double Top (ABRIR SHORT) | $1.51 | 83.7%
2026-01-22 19:47:03 | SENT | HTTP 200 | BNBUSDT | Double Top (ABRIR SHORT) | $888.10 | 64.4%
2026-01-22 19:48:03 | SENT | HTTP 200 | PAXGUSDT | Double Bottom (ABRIR LONG) | $4918.80 | 68.5%
2026-01-22 19:53:05 | SENT | HTTP 200 | BTCUSDT | Double Top (ABRIR SHORT) | $89250.20 | 35.8%
2026-01-22 20:00:04 | SENT | HTTP 200 | BNBUSDT | Double Bottom (ABRIR LONG) | $863.60 | 81.8%
2026-01-22 20:10:05 | SENT | HTTP 200 | ADAUSDT | Double Bottom (ABRIR LONG) | $0.36 | 81.4%
2026-01-22 20:12:03 | SENT | HTTP 200 | DOGEUSDT | Double Bottom (ABRIR LONG) | $0.12 | 63.9%
2026-01-22 20:13:05 | SENT | HTTP 200 | GALAUSDT | Double Top (ABRIR SHORT) | $0.01 | 84.7%
2026-01-22 20:15:05 | SENT | HTTP 200 | TRXUSDT | Double Top (ABRIR SHORT) | $0.31 | 64.0%
2026-01-22 20:16:04 | SENT | HTTP 200 | SOLUSDT | Double Bottom (ABRIR LONG) | $127.46 | 61.5%
2026-01-22 20:17:04 | SENT | HTTP 200 | SUIUSDT | Double Bottom (ABRIR LONG) | $1.49 | 78.6%
2026-01-22 20:18:03 | SENT | HTTP 200 | BNBUSDT | Double Bottom (ABRIR LONG) | $886.80 | 65.0%
2026-01-22 20:40:05 | SENT | HTTP 200 | ADAUSDT | Double Top (ABRIR SHORT) | $0.36 | 58.9%
2026-01-22 20:43:15 | SENT | HTTP 200 | GALAUSDT | Double Bottom (ABRIR LONG) | $0.01 | 80.7%
2026-01-22 20:45:06 | SENT | HTTP 200 | TRXUSDT | Double Bottom (ABRIR LONG) | $0.30 | 62.1%
2026-01-22 21:02:03 | SENT | HTTP 200 | TRBUSDT | Double Top (ABRIR SHORT) | $20.25 | 57.2%
2026-01-22 21:06:05 | SENT | HTTP 200 | BTCUSDT | Double Top (ABRIR SHORT) | $89580.00 | 44.9%
2026-01-22 21:10:05 | SENT | HTTP 200 | ADAUSDT | Double Bottom (ABRIR LONG) | $0.36 | 83.0%
2026-01-22 21:15:15 | SENT | HTTP 200 | POLUSDT | Double Top (ABRIR SHORT) | $0.13 | 64.5%
2026-01-22 21:32:04 | SENT | HTTP 200 | TRXUSDT | Double Bottom (ABRIR LONG) | $0.30 | 64.8%
2026-01-22 21:36:10 | SENT | HTTP 200 | DOGEUSDT | Double Top (ABRIR SHORT) | $0.13 | 82.8%
2026-01-22 21:37:02 | SENT | HTTP 200 | TRBUSDT | Double Top (ABRIR SHORT) | $20.07 | 60.2%
2026-01-22 21:38:02 | SENT | HTTP 200 | SUIUSDT | Double Top (ABRIR SHORT) | $1.51 | 70.6%
2026-01-22 21:40:05 | SENT | HTTP 200 | ADAUSDT | Double Top (ABRIR SHORT) | $0.36 | 63.0%
