sep=;
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 6, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "va_breakout", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "zone_opposite", "atr_dyn_period": 100, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.5, "atr_dyn_min_bars": 20, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 30, "ttm_kc_multiplier": 1, "ttm_min_squeeze_bars": 10, "use_bbwp_scoring": false, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 30, "use_continuation_score": false, "sl_poc_buffer_pct": 50, "vp_bins_per_zone": 30, "tp_rr_ratio": 1}
# Fecha: 2026-02-08T08:16:39.385813
zona_num;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;sl_price;tp_price;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score;vp_poc;vp_vah;vp_val
1;2026-02-01 10:47;2026-02-01 10:57;76820,273;77295,746;0,62;UP;77236,5;VA Breakout;77236,5;0;76832,89;77640,11;WIN;2;2,0;5,33;Si;Si;11;23;0,4;42.0;76967,43;77186,4;76886,75
2;2026-02-01 12:59;2026-02-01 13:08;77058,54300000002;77785,609;0,94;UP;77719;VA Breakout;77719;0;77296,94;78141,06;WIN;2;4,0;3,95;Si;Si;10;114;1,9;62.0;77437,62;77690,15;77305,35
3;2026-02-01 13:45;2026-02-01 13:49;77946,0235;78248,0125;0,39;DOWN;77966,2;VA Breakout;77966,2;0;78163,96;77768,44;WIN;2;6,0;91,42;Si;Si;5;23;0,4;38.0;78098,04;78156,64;78000,36
4;2026-02-01 14:44;2026-02-01 14:46;77470;77879,891;0,53;DOWN;77511;VA Breakout;77511;0;77835,29;77186,71;WIN;2;8,0;54,34;Si;Si;3;43;0,7;36.0;77727,19;77778,78;77557,68
5;2026-02-01 18:04;2026-02-01 18:05;76956,6;77595,36950000002;0,83;DOWN;77030,7;VA Breakout;77030,7;0;77443,89;76617,51;WIN;2;10,0;41,49;Si;Si;2;34;0,6;57.0;77306,16;77520,13;77092,19
6;2026-02-01 20:07;2026-02-01 20:13;77405,38299999999;78215,82749999998;1,04;DOWN;77471,8;VA Breakout;77471,8;0;78094,14;76849,46;WIN;2;12,0;28,25;Si;Si;7;60;1,0;62.0;77886,69;78006,6;77561,22
7;2026-02-01 21:56;2026-02-01 22:15;76605,7;77888,5305;1,66;DOWN;76623;VA Breakout;76623;0;77479,41;75766,59;WIN;2;14,0;19,54;Si;Si;20;95;1,6;34.0;77193,94;77738,61;76954,29
8;2026-02-02 00:14;2026-02-02 02:09;75422,9;76628,64600000001;1,59;DOWN;75481,1;VA Breakout;75481,1;0;76808,68;74153,52;LOSS;-1;13,0;11,75;Si;Si;116;53;0,9;45.0;76366,15;76510,32;75810,09
9;2026-02-02 01:14;2026-02-02 01:37;74856,2;75650,928;1,06;UP;75595,5;VA Breakout;75595,5;0;75006,88;76184,12;LOSS;-1;12,0;6,44;Si;Si;24;60;1,0;58.0;75203,09;75530,67;75085,16
10;2026-02-02 04:25;2026-02-02 04:33;76043,32299999999;77146,9;1,44;UP;77003,5;VA Breakout;77003,5;0;76571,91;77435,09;WIN;2;14,0;5,52;Si;Si;9;164;2,7;51.0;76715,77;76927,33;76322,89
11;2026-02-02 07:20;2026-02-02 07:25;77353,142;77994,2;0,83;UP;77973,9;VA Breakout;77973,9;0;77594,02;78353,78;WIN;2;16,0;3,72;Si;Si;6;156;2,6;56.0;77720,65;77791,57;77467,35
12;2026-02-02 08:54;2026-02-02 08:56;77709,38449999999;78058,5;0,45;UP;77967,7;VA Breakout;77967,7;0;77786,73;78148,67;WIN;2;18,0;7,85;Si;Si;3;83;1,4;40.0;77847,05;77959,66;77793,71
13;2026-02-02 18:35;2026-02-02 18:36;78543,795;78835,6065;0,37;UP;78780,3;VA Breakout;78780,3;0;78724,12;78836,48;WIN;2;20,0;7,07;Si;Si;2;81;1,3;63.0;78742,85;78768,57;78603,98
14;2026-02-02 19:57;2026-02-02 20:02;78743,963;78965,2;0,28;UP;78984,5;VA Breakout;78984,5;0;78835,42;79133,58;WIN;2;22,0;1,3;No;No;6;31;0,5;63.0;78885,11;78948,71;78821,51
15;2026-02-02 21:07;2026-02-02 21:10;78703,3975;79016,99399999999;0,4;DOWN;78733,1;VA Breakout;78733,1;0;78908,46;78557,74;WIN;2;24,0;107,47;Si;Si;4;51;0,8;63.0;78850,01;78910,71;78778,27
16;2026-02-03 00:56;2026-02-03 00:57;78281,837;78485,66849999999;0,26;DOWN;78317,6;VA Breakout;78317,6;0;78409,99;78225,22;WIN;2;26,0;199,49;Si;Si;2;35;0,6;55.0;78379,19;78435,8;78335,9
17;2026-02-03 03:10;2026-02-03 03:25;78398,40650000001;78886,81250000001;0,62;DOWN;78596;VA Breakout;78596;0;78803,45;78388,55;LOSS;-1;25,0;90,18;Si;Si;16;98;1,6;62.0;78734,3;78844,39;78624,21
18;2026-02-03 04:10;2026-02-03 04:11;78624,15400000001;78823,666;0,25;DOWN;78554,8;VA Breakout;78554,8;0;78769,14;78340,46;WIN;2;27,0;87,09;Si;Si;2;20;0,3;63.0;78697,69;78781,83;78664,77
19;2026-02-03 05:32;2026-02-03 06:32;78131,03700000001;78563,1495;0,55;DOWN;78229,5;VA Breakout;78229,5;0;78499,37;77959,63;WIN;2;29,0;67,96;Si;Si;61;57;0,9;62.0;78409,41;78504,23;78256,25
20;2026-02-03 06:59;2026-02-03 07:13;77945,4;78298,9;0,45;DOWN;78034,7;VA Breakout;78034,7;0;78206;77863,4;LOSS;-1;28,0;105,94;Si;Si;15;86;1,4;60.0;78148,9;78204,4;78044,07
21;2026-02-03 09:17;2026-02-03 09:17;78039,42700000001;78407,6;0,47;DOWN;78083,4;VA Breakout;78083,4;0;78298,17;77868,63;LOSS;-1;27,0;84,72;Si;Si;1;130;2,1;63.0;78226,58;78360,72;78191,28
22;2026-02-03 12:04;2026-02-03 12:11;76331,59150000001;77024,34550000001;0,9;DOWN;76372,9;VA Breakout;76372,9;0;76878,19;75867,61;WIN;2;29,0;32,62;Si;Si;8;42;0,7;38.0;76709,76;76895,11;76573,83
23;2026-02-03 12:37;2026-02-03 12:43;75640,938;76075,597;0,57;DOWN;75588,3;VA Breakout;75588,3;0;75985,73;75190,87;WIN;2;31,0;39,5;Si;Si;7;27;0,4;69.0;75853,26;75973,91;75666,79
24;2026-02-03 13:19;2026-02-03 13:25;74522,1;75275,96099999998;1,01;DOWN;74714,1;VA Breakout;74714,1;0;75253,29;74174,91;WIN;2;33,0;27,5;Si;Si;7;39;0,6;43.0;75073,56;75264,75;74794,13
25;2026-02-03 15:22;2026-02-03 15:25;74407,24299999999;75223,18800000001;1,09;UP;75168,5;VA Breakout;75168,5;0;74774,57;75562,43;WIN;2;35,0;4,63;Si;Si;4;65;1,1;65.0;74905,88;75102,6;74601,87
26;2026-02-03 17:12;2026-02-03 17:50;75773,9;76892,1;1,46;DOWN;75951,9;VA Breakout;75951,9;0;76522,29;75381,51;WIN;2;37,0;28,16;Si;Si;39;102;1,7;62.0;76332,16;76633,01;76071,42
27;2026-02-03 19:20;2026-02-03 19:29;75382,5;75999,931;0,82;UP;75796,7;VA Breakout;75796,7;0;75624,7;75968,7;WIN;2;39,0;6,94;Si;Si;10;94;1,6;54.0;75682,03;75793,5;75489,5
