sep=;
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 2, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "breakout_close", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "swing_previous", "atr_dyn_period": 200, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.3, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 25, "ttm_kc_multiplier": 1.8, "ttm_min_squeeze_bars": 5, "use_bbwp_scoring": true, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70}
# Fecha: 2026-02-05T22:25:12.229729
zona_num;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
1;2025-10-10 08:00;2025-10-10 08:50;120920,70775;121700;0,64;UP;121838,7;Close Breakout;121838,7;0;LOSS;-1;-1,0;1,36;No;No;11;110;9,1;48.0
2;2025-10-12 10:10;2025-10-14 04:45;109966,96155;113169,2977;2,87;UP;113176,5;Close Breakout;113176,5;0;LOSS;-1;-2,0;1,56;No;No;512;429;35,7;33.0
3;2025-10-12 15:00;2025-10-13 22:00;113529,5;114452,67880000001;0,81;UP;114591;Close Breakout;114591;0;LOSS;-1;-3,0;1,62;No;No;373;38;3,1;48.0
4;2025-10-13 20:05;2025-10-13 23:45;114634,17565000002;115642,10154999999;0,88;DOWN;114581,3;Close Breakout;114581,3;0;WIN;2;-1,0;69,3;Si;Si;45;193;16;72.0
5;2025-10-14 00:30;2025-10-14 05:10;112797,8;113683,10849999999;0,78;DOWN;112701,8;Close Breakout;112701,8;0;WIN;2;1,0;56,8;Si;Si;57;32;2,6;86.0
6;2025-10-14 04:40;2025-10-14 05:30;111475,60565;112028,64185;0,49;DOWN;111446;Close Breakout;111446;0;WIN;2;3,0;79,84;Si;Si;11;22;1,8;76.0
7;2025-10-16 09:10;2025-10-16 11:35;110287,58155000002;113182,6;2,59;DOWN;110157;Close Breakout;110157;0;WIN;2;5,0;38,02;Si;Si;30;453;37,7;57.0
8;2025-10-17 01:35;2025-10-17 05:20;107569,93155;109091,76155;1,4;DOWN;107320,2;Close Breakout;107320,2;0;WIN;2;7,0;25,24;Si;Si;46;108;8,9;74.0
9;2025-10-19 01:30;2025-10-19 03:15;106714,53520000003;107139,6414;0,4;DOWN;106669,6;Close Breakout;106669,6;0;LOSS;-1;6,0;99,79;Si;Si;22;59;4,8;55.0
10;2025-10-19 16:30;2025-10-19 17:05;108554,33845;109370,4816;0,75;DOWN;108595,9;Close Breakout;108595,9;0;LOSS;-1;5,0;136,7;Si;Si;8;54;4,4;30.0
11;2025-10-20 19:00;2025-10-20 20:55;110409,96255000001;111692,3;1,15;DOWN;110361,5;Close Breakout;110361,5;0;WIN;2;7,0;107,57;Si;Si;24;173;14,3;78.0
12;2025-10-20 20:45;2025-10-20 23:00;110018,48530000001;110546,6725;0,48;DOWN;109981,3;Close Breakout;109981,3;0;WIN;2;9,0;95,11;Si;Si;28;23;1,8;90.0
13;2025-10-20 22:55;2025-10-20 23:55;109202,7245;109723,41075;0,48;DOWN;109023,1;Close Breakout;109023,1;0;WIN;2;11,0;70,89;Si;Si;13;23;1,8;86.0
14;2025-10-21 05:35;2025-10-21 07:20;107438,02350000001;107940,5946;0,47;UP;107942;Close Breakout;107942;0;WIN;2;13,0;16,46;Si;Si;22;31;2,5;90.0
15;2025-10-21 15:10;2025-10-21 17:30;111430,41635000001;112270,7827;0,75;DOWN;111257,9;Close Breakout;111257,9;0;WIN;2;15,0;56,15;Si;Si;29;28;2,2;78.0
16;2025-10-22 16:00;2025-10-22 20:10;107441,6;108218,67939999998;0,72;DOWN;107247,6;Close Breakout;107247,6;0;LOSS;-1;14,0;41,93;Si;Si;51;22;1,8;58.0
17;2025-10-23 08:25;2025-10-23 09:15;108180,97380000002;109697,46465;1,39;UP;109103,5;Close Breakout;109103,5;0;LOSS;-1;13,0;19,48;Si;Si;11;123;10,2;50.0
18;2025-10-23 12:30;2025-10-23 15:55;109564,67104999999;110241,5;0,62;UP;110320;Close Breakout;110320;0;LOSS;-1;12,0;8,41;Si;Si;42;29;2,3;48.0
19;2025-10-23 23:20;2025-10-24 07:30;110162,12135000002;110715,23029999998;0,5;UP;110757,3;Close Breakout;110757,3;0;WIN;2;14,0;10,75;Si;Si;99;23;1,8;90.0
20;2025-10-26 04:20;2025-10-26 08:40;110782,4;111844,8;0,95;UP;112310,5;Close Breakout;112310,5;0;WIN;2;16,0;4,89;Si;Si;53;570;47,4;74.0
