sep=;
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 2, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "breakout_close", "position_mode": "concurrent", "swing_bars": 3, "sl_mode": "swing_previous", "atr_dyn_period": 200, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.3, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 25, "ttm_kc_multiplier": 1.8, "ttm_min_squeeze_bars": 5, "use_bbwp_scoring": true, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 50, "use_continuation_score": true}
# Fecha: 2026-02-06T12:37:54.914445
zona_num;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
1;2025-10-10 08:00;2025-10-10 08:50;121303,27509999998;121653,65839999999;0,29;UP;121838,7;Close Breakout;121838,7;0;LOSS;-1;-1,0;1,39;No;No;11;27;2,2;61.0
2;2025-10-12 15:00;2025-10-12 17:00;113529,5;114452,67880000001;0,81;UP;114591;Close Breakout;114591;0;WIN;2;1,0;3,19;Si;Si;25;38;3,1;58.0
3;2025-10-13 20:05;2025-10-13 23:45;114634,17565000002;115642,10154999999;0,88;DOWN;114581,3;Close Breakout;114581,3;0;WIN;2;3,0;69,3;Si;Si;45;193;16;57.0
4;2025-10-14 00:30;2025-10-14 05:10;112797,8;113683,10849999999;0,78;DOWN;112701,8;Close Breakout;112701,8;0;WIN;2;5,0;56,22;Si;Si;57;32;2,6;61.0
5;2025-10-14 04:40;2025-10-14 05:15;111475,60565;112028,64185;0,49;DOWN;111446;Close Breakout;111446;0;WIN;2;7,0;102,71;Si;Si;8;22;1,8;51.0
6;2025-10-19 01:30;2025-10-19 03:15;106714,53520000003;107139,6414;0,4;DOWN;106669,6;Close Breakout;106669,6;0;LOSS;-1;6,0;99,79;Si;Si;22;59;4,8;60.0
7;2025-10-20 19:00;2025-10-20 20:55;110409,96255000001;111692,3;1,15;DOWN;110361,5;Close Breakout;110361,5;0;WIN;2;8,0;131,72;Si;Si;24;173;14,3;53.0
8;2025-10-20 20:45;2025-10-20 20:55;110018,48530000001;110546,6725;0,48;DOWN;109981,3;Close Breakout;109981,3;0;WIN;2;10,0;173,57;Si;Si;3;23;1,8;55.0
9;2025-10-20 22:55;2025-10-20 23:10;109202,7245;109723,41075;0,48;DOWN;109023,1;Close Breakout;109023,1;0;WIN;2;12,0;97,49;Si;Si;4;23;1,8;61.0
10;2025-10-21 05:35;2025-10-21 05:50;107438,02350000001;107940,5946;0,47;UP;107942;Close Breakout;107942;0;WIN;2;14,0;26,07;Si;Si;4;31;2,5;60.0
11;2025-10-21 15:10;2025-10-21 17:25;111430,41635000001;112270,7827;0,75;DOWN;111257,9;Close Breakout;111257,9;0;WIN;2;16,0;70,52;Si;Si;28;28;2,2;58.0
12;2025-10-22 16:00;2025-10-22 18:25;107441,6;108218,67939999998;0,72;DOWN;107247,6;Close Breakout;107247,6;0;LOSS;-1;15,0;74,09;Si;Si;30;22;1,8;58.0
13;2025-10-23 12:30;2025-10-23 15:55;109564,67104999999;110241,5;0,62;UP;110320;Close Breakout;110320;0;LOSS;-1;14,0;8,41;Si;Si;42;29;2,3;53.0
14;2025-10-23 23:20;2025-10-24 07:30;110162,12135000002;110715,23029999998;0,5;UP;110757,3;Close Breakout;110757,3;0;WIN;2;16,0;10,75;Si;Si;99;23;1,8;65.0
15;2025-10-26 04:20;2025-10-26 07:05;110782,4;111844,8;0,95;UP;112310,5;Close Breakout;112310,5;0;WIN;2;18,0;6,35;Si;Si;34;570;47,4;54.0
16;2025-10-26 17:00;2025-10-28 15:10;112921,8;113707,23409999999;0,69;UP;114743,9;Close Breakout;114743,9;0;LOSS;-1;17,0;0,84;No;No;555;40;3,2;57.0
