# Parametros: {"consol_min_bars": 8, "consol_max_bars": 100, "consol_max_range_pct": 10, "consol_atr_ratio": 1, "consol_body_ratio": 0.3, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 10, "entry_mode": "swing_confirmation", "position_mode": "sequential", "swing_bars": 3, "sl_mode": "swing_previous"}
# Fecha: 2026-02-05T01:48:47.368177
zona_num;fecha_inicio;fecha_fin;precio_min;precio_max;rango_pct;direccion_breakout;precio_breakout;modo_entrada;precio_entrada;offset_barras;resultado;pnl_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
1;2026-02-02 17:20;2026-02-02 21:35;78359,0;79177,7;1,04;DOWN;78353,7;Swing Confirm;78725,1;18;WIN;2,0;90,28;Si;Si;3;52;4,2;98.0
2;2026-01-31 03:35;2026-01-31 09:10;82300,0;83281,0;1,18;DOWN;82233,0;Swing Confirm;81119,8;13;WIN;2,0;6,24;Si;Si;40;68;5,6;98.0
3;2026-02-04 04:30;2026-02-04 08:30;75635,2;76307,9;0,89;DOWN;75528,6;Swing Confirm;74885,9;15;WIN;2,0;3,71;Si;Si;34;49;4,0;90.0
4;2026-01-19 17:35;2026-01-19 23:50;92015,9;92875,0;0,93;DOWN;91601,9;Swing Confirm;91683,2;9;WIN;2,0;31,5;Si;Si;109;76;6,2;89.0
5;2026-01-25 03:40;2026-01-25 05:05;88100,0;88462,8;0,41;UP;88566,0;Swing Confirm;88517,6;23;WIN;2,0;11,58;Si;Si;20;18;1,4;85.0
6;2026-01-28 13:45;2026-01-28 20:20;88813,0;89864,1;1,18;DOWN;88788,4;Swing Confirm;88583,2;7;WIN;2,0;34,41;Si;Si;152;80;6,6;84.0
7;2026-02-03 02:10;2026-02-03 04:10;78121,9;79040,0;1,17;DOWN;78013,3;Swing Confirm;78126,8;14;WIN;2,0;8,81;Si;Si;80;25;2,0;84.0
8;2026-01-24 09:30;2026-01-24 10:30;89338,2;89464,0;0,14;DOWN;89320,5;Swing Confirm;89350,1;22;WIN;2,0;169,13;Si;Si;85;13;1,0;83.0
9;2026-01-10 06:50;2026-01-10 08:50;90584,3;90754,9;0,19;DOWN;90580,7;Swing Confirm;90607,3;27;WIN;2,0;154,3;Si;Si;69;25;2,0;79.0
10;2026-01-24 02:45;2026-01-24 07:00;89513,6;89650,0;0,15;DOWN;89496,3;Swing Confirm;89493,9;7;WIN;2,0;153,91;Si;Si;16;52;4,2;79.0
11;2026-01-12 03:45;2026-01-12 10:15;90068,0;91210,8;1,26;UP;91289,6;Swing Confirm;92035,5;14;WIN;2,0;4,3;Si;Si;356;79;6,5;76.0
12;2026-01-07 21:40;2026-01-08 01:00;90555,3;91147,9;0,65;DOWN;90536,3;Swing Confirm;90240,8;32;LOSS;-1,0;22,22;Si;Si;101;41;3,3;69.0
13;2026-01-25 09:25;2026-01-25 10:50;88314,0;88737,0;0,48;DOWN;88230,4;Swing Confirm;87802,1;9;LOSS;-1,0;18,99;Si;Si;270;18;1,4;69.0
14;2026-01-29 23:40;2026-01-30 00:25;82827,0;83297,9;0,57;DOWN;82747,3;Swing Confirm;82623,9;15;LOSS;-1,0;18,6;Si;Si;87;10;0,8;68.0
15;2026-01-07 09:20;2026-01-07 11:50;90922,5;92105,8;1,29;DOWN;91218,2;Swing Confirm;91200,8;11;WIN;2,0;36,97;Si;Si;157;31;2,5;63.0
16;2026-01-09 06:30;2026-01-09 09:35;90098,5;90951,5;0,94;DOWN;90051,6;Swing Confirm;91221,0;13;LOSS;-1,0;78,42;Si;Si;1;38;3,1;60.0
17;2026-01-18 03:30;2026-01-18 04:30;95054,4;95210,0;0,16;UP;95240,2;Swing Confirm;95104,0;7;LOSS;-1,0;64,42;Si;Si;1;13;1,0;59.0
18;2026-01-31 22:20;2026-01-31 23:30;78628,0;79074,3;0,57;DOWN;78539,4;Swing Confirm;78482,1;12;LOSS;-1,0;17,88;Si;Si;40;15;1,2;59.0
19;2026-01-10 23:05;2026-01-11 07:20;90545,8;90838,5;0,32;UP;90860,2;Swing Confirm;90860,6;16;LOSS;-1,0;33,97;Si;Si;70;100;8,2;59.0
20;2026-02-01 19:15;2026-02-01 21:15;76558,4;78177,9;2,09;DOWN;76450,6;Swing Confirm;75487,0;15;LOSS;-1,0;2,23;Si;No;90;25;2,0;58.0
21;2026-01-30 08:50;2026-01-30 10:00;82584,8;83771,2;1,43;DOWN;82574,9;Swing Confirm;82838,7;6;LOSS;-1,0;17,27;Si;Si;35;15;1,2;58.0
22;2026-02-02 15:40;2026-02-02 16:50;77850,9;78516,4;0,85;UP;78595,8;Swing Confirm;78711,9;14;LOSS;-1,0;0,84;No;No;44;15;1,2;57.0
23;2026-01-07 04:25;2026-01-07 06:00;91533,4;92010,0;0,52;UP;92098,5;Swing Confirm;92004,0;15;LOSS;-1,0;12,66;Si;Si;23;20;1,6;57.0
24;2026-01-18 15:40;2026-01-18 16:50;95232,1;95399,8;0,18;UP;95414,8;Swing Confirm;92732,8;26;LOSS;-1,0;0,26;No;No;1;15;1,2;57.0
25;2026-01-13 19:10;2026-01-14 00:40;94920,3;95774,6;0,9;DOWN;94884,1;Swing Confirm;94965,8;18;LOSS;-1,0;91,44;Si;Si;7;67;5,5;56.0
26;2026-01-23 02:20;2026-01-23 03:25;89262,4;89644,0;0,43;DOWN;89167,4;Swing Confirm;89274,1;6;LOSS;-1,0;62,28;Si;Si;66;14;1,1;54.0
27;2026-01-22 02:05;2026-01-22 08:35;89689,5;90296,8;0,67;DOWN;89583,3;Swing Confirm;89438,1;10;LOSS;-1,0;31,07;Si;Si;165;79;6,5;54.0
28;2026-02-02 10:25;2026-02-02 15:30;78070,5;79388,0;1,67;DOWN;78054,5;Swing Confirm;78455,3;13;LOSS;-1,0;45,89;Si;Si;4;62;5,1;53.0
29;2026-01-26 03:45;2026-01-26 10:00;87394,2;88512,8;1,27;UP;88667,3;Swing Confirm;87599,7;10;LOSS;-1,0;17,59;Si;Si;1;76;6,2;53.0
30;2026-01-08 10:10;2026-01-08 11:55;90178,8;90897,0;0,79;UP;90992,8;Swing Confirm;91153,7;8;LOSS;-1,0;7,54;Si;Si;181;22;1,8;50.0
31;2026-01-14 11:15;2026-01-14 13:30;96435,2;97750,2;1,35;DOWN;96343,5;Swing Confirm;97375,4;14;LOSS;-1,0;72,81;Si;Si;6;28;2,2;49.0
32;2026-01-17 07:15;2026-01-17 09:25;95140,8;95430,2;0,3;UP;95451,8;Swing Confirm;95511,1;7;LOSS;-1,0;0,69;No;No;16;27;2,2;49.0
33;2026-01-17 12:30;2026-01-17 14:40;95242,8;95425,6;0,19;DOWN;95233,6;Swing Confirm;95270,9;10;LOSS;-1,0;491,9;Si;Si;2;27;2,2;46.0
34;2026-01-22 00:10;2026-01-22 01:35;89850,0;90104,0;0,28;UP;90107,1;Swing Confirm;89899,9;13;LOSS;-1,0;25,65;Si;Si;2;18;1,4;46.0
35;2026-01-06 21:30;2026-01-07 00:45;92532,5;93085,5;0,6;DOWN;92517,3;Swing Confirm;92676,4;11;LOSS;-1,0;155,69;Si;Si;10;40;3,2;44.0
36;2026-01-18 21:15;2026-01-19 02:45;92321,7;92765,3;0,48;UP;92780,1;Swing Confirm;92979,1;19;LOSS;-1,0;0,89;No;No;162;67;5,5;42.0
37;2026-01-14 23:10;2026-01-15 02:20;95960,5;96534,9;0,6;UP;96555,0;Swing Confirm;96536,3;13;LOSS;-1,0;1,48;No;No;71;39;3,2;34.0
38;2026-01-07 15:40;2026-01-07 18:45;90833,8;91450,0;0,68;UP;91487,9;Swing Confirm;91314,0;8;SKIPPED;0,0;0,0;No;No;0;38;3,1;0.0
39;2026-01-07 20:35;2026-01-07 21:20;91058,9;91436,0;0,41;DOWN;90872,4;Swing Confirm;90945,7;9;SKIPPED;0,0;0,0;No;No;0;10;0,8;0.0
40;2026-01-08 02:30;2026-01-08 04:20;89977,1;90720,1;0,82;DOWN;89964,0;Swing Confirm;89943,1;6;SKIPPED;0,0;0,0;No;No;0;23;1,8;0.0
41;2026-01-08 13:50;2026-01-08 14:55;90732,6;91284,1;0,61;DOWN;90669,8;Swing Confirm;91099,3;18;SKIPPED;0,0;0,0;No;No;0;14;1,1;0.0
42;2026-01-12 20:40;2026-01-12 22:55;91003,0;91425,0;0,46;UP;91449,4;Swing Confirm;91473,3;8;SKIPPED;0,0;0,0;No;No;0;28;2,2;0.0
43;2026-01-13 02:35;2026-01-13 03:30;91881,0;92059,3;0,19;UP;92103,1;Swing Confirm;92253,3;16;SKIPPED;0,0;0,0;No;No;0;12;0,9;0.0
44;2026-01-13 04:50;2026-01-13 06:35;91976,9;92312,8;0,36;DOWN;91964,5;Swing Confirm;92072,4;10;SKIPPED;0,0;0,0;No;No;0;22;1,8;0.0
45;2026-01-13 13:10;2026-01-13 14:30;93386,5;94149,1;0,81;UP;94159,9;Swing Confirm;94277,3;12;SKIPPED;0,0;0,0;No;No;0;17;1,3;0.0
46;2026-01-19 14:50;2026-01-19 16:30;92935,9;93299,9;0,39;DOWN;92881,5;Swing Confirm;92782,6;7;SKIPPED;0,0;0,0;No;No;0;21;1,7;0.0
47;2026-01-20 02:15;2026-01-20 06:00;90610,1;91341,0;0,8;UP;91356,5;Swing Confirm;91158,7;14;SKIPPED;0,0;0,0;No;No;0;46;3,8;0.0
48;2026-01-23 05:50;2026-01-23 08:00;88950,0;89338,0;0,44;UP;89360,0;Swing Confirm;89431,6;13;SKIPPED;0,0;0,0;No;No;0;27;2,2;0.0
49;2026-01-25 12:45;2026-01-25 13:35;87263,0;87952,1;0,79;DOWN;87014,5;Swing Confirm;87041,9;7;SKIPPED;0,0;0,0;No;No;0;11;0,8;0.0
50;2026-01-25 20:10;2026-01-26 01:15;87034,9;87929,7;1,02;UP;87941,3;Swing Confirm;87891,5;6;SKIPPED;0,0;0,0;No;No;0;62;5,1;0.0
51;2026-01-28 21:00;2026-01-28 21:45;87762,0;88718,5;1,08;DOWN;87746,7;Swing Confirm;88000,5;7;SKIPPED;0,0;0,0;No;No;0;10;0,8;0.0
52;2026-01-28 22:45;2026-01-28 23:45;87857,8;88199,0;0,39;UP;88247,3;Swing Confirm;88268,6;10;SKIPPED;0,0;0,0;No;No;0;13;1,0;0.0
53;2026-02-05 00:45;2026-02-05 01:45;70394,3;71013,9;0,88;DOWN;70597,7;Swing Confirm;0,0;0;NO_ENTRY;0,0;0,0;No;No;0;13;1,0;0.0
