# Parametros: {"consol_min_bars": 10, "consol_max_bars": 50, "consol_max_range_pct": 10, "consol_atr_ratio": 0.5, "consol_body_ratio": 0.4, "consol_max_outside_bars": 3, "lookforward_bars": 200, "max_price_range_pct": 10, "entry_mode": "swing_confirmation", "position_mode": "sequential", "swing_bars": 3, "sl_mode": "zone_opposite", "use_atr_band": true, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": false, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 25, "ttm_kc_multiplier": 1.8, "ttm_min_squeeze_bars": 5, "use_bbwp_scoring": false, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 10, "use_inside_pct_filter": false, "min_inside_pct": 70}
# Fecha: 2026-02-05T17:14:24.301842
zona_num;fecha_inicio;fecha_fin;precio_min;precio_max;rango_pct;direccion_breakout;precio_breakout;modo_entrada;precio_entrada;offset_barras;resultado;pnl_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
1;2026-01-25 12:10;2026-01-25 13:05;87698,3;87976,5;0,32;DOWN;87655,7;Swing Confirm;87041,9;13;WIN;2;89,12;Si;Si;3;12;0,9;100.0
2;2026-01-19 16:40;2026-01-19 17:25;92656,8;93029,4;0,4;DOWN;92521,9;Swing Confirm;92637,8;10;WIN;2;81,56;Si;Si;64;10;0,8;99.0
3;2026-02-02 17:20;2026-02-02 21:25;78359;79177,7;1,04;DOWN;78353,7;Swing Confirm;78725,1;18;WIN;2;20,12;Si;Si;131;50;4,1;98.0
4;2026-01-28 05:35;2026-01-28 06:35;89274,1;89485;0,24;UP;89627,2;Swing Confirm;89924,7;11;WIN;2;3,19;Si;Si;13;13;1;94.0
5;2026-01-25 10:10;2026-01-25 10:55;88314;88735;0,48;DOWN;88230,4;Swing Confirm;87802,1;9;WIN;2;60,69;Si;Si;24;10;0,8;94.0
6;2026-01-26 17:05;2026-01-26 18:15;87942;88234,5;0,33;UP;88310,7;Swing Confirm;88375,9;12;WIN;2;7,59;Si;Si;47;15;1,2;94.0
7;2026-01-13 11:40;2026-01-13 13:10;93050;93715,8;0,71;UP;93818;Swing Confirm;94277,3;17;WIN;2;5,54;Si;Si;17;19;1,5;91.0
8;2026-01-18 20:55;2026-01-18 22:00;92252,3;92618,3;0,4;UP;92663,5;Swing Confirm;92505,2;6;WIN;2;2,38;Si;No;65;14;1,1;90.0
9;2026-01-12 23:05;2026-01-12 23:55;91299,8;91689,8;0,43;UP;91703,5;Swing Confirm;91974,3;8;WIN;2;15,36;Si;Si;106;11;0,8;90.0
10;2026-02-04 06:10;2026-02-04 08:10;75635,2;76244,9;0,8;DOWN;75528,6;Swing Confirm;74885,9;15;WIN;2;20,72;Si;Si;17;25;2;90.0
11;2026-01-26 21:25;2026-01-26 23:40;88510,3;88977,7;0,53;DOWN;88432;Swing Confirm;88438,9;11;WIN;2;56,03;Si;Si;109;28;2,2;89.0
12;2026-02-05 13:35;2026-02-05 14:40;65354,2;66614;1,91;DOWN;65283,1;Swing Confirm;64020,6;6;WIN;0,4345134148277506;1,41;No;No;23;14;1,1;87.0
13;2026-01-30 10:55;2026-01-30 11:55;82500;83476,2;1,18;DOWN;82176,2;Swing Confirm;83827,3;22;WIN;2;22,1;Si;Si;221;13;1;85.0
14;2026-01-11 19:05;2026-01-11 19:50;90624,7;91173,9;0,6;UP;91222,4;Swing Confirm;91388,6;11;WIN;2;11,97;Si;Si;19;10;0,8;85.0
15;2026-01-15 12:05;2026-01-15 13:05;96351,6;97034,9;0,71;DOWN;96198,5;Swing Confirm;95502,1;23;WIN;2;48,66;Si;Si;909;13;1;85.0
