sep=;
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 2, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "breakout_close", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "swing_previous", "atr_dyn_period": 200, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.3, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 25, "ttm_kc_multiplier": 1.8, "ttm_min_squeeze_bars": 5, "use_bbwp_scoring": true, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 40}
# Fecha: 2026-02-06T14:05:40.835913
zona_num;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
1;2025-01-05 09:15;2025-01-05 10:05;97513,8;98459,97575;0,97;DOWN;97265,6;Close Breakout;97265,6;0;LOSS;-1;-1,0;52,32;Si;Si;11;400;33,2;53.0
2;2025-01-06 06:20;2025-01-06 09:20;98711,47015000001;99068,69350000001;0,36;UP;99165,3;Close Breakout;99165,3;0;LOSS;-1;-2,0;55,51;Si;Si;37;21;1,7;62.0
3;2025-01-07 05:05;2025-01-07 06:40;101540,70464999999;101956,3;0,41;DOWN;101533,7;Close Breakout;101533,7;0;WIN;2;0,0;96,34;Si;Si;20;35;2,8;48.0
4;2025-01-08 01:30;2025-01-08 12:05;95996,44675000002;96734,9065;0,77;DOWN;95770;Close Breakout;95770;0;WIN;2;2,0;42,04;Si;Si;128;35;2,8;59.0
5;2025-01-08 06:30;2025-01-08 10:05;95402,9;96152,12235;0,78;DOWN;94858,1;Close Breakout;94858,1;0;LOSS;-1;1,0;30,29;Si;Si;44;40;3,2;57.0
6;2025-01-08 17:20;2025-01-08 21:10;93740,60205;94750;1,07;UP;94815,9;Close Breakout;94815,9;0;LOSS;-1;0,0;24,38;Si;Si;47;25;2;55.0
7;2025-01-08 21:05;2025-01-10 12:55;94608,78490000001;95405,67064999997;0,84;DOWN;93865,4;Close Breakout;93865,4;0;LOSS;-1;-1,0;22,79;Si;Si;479;45;3,7;55.0
8;2025-01-09 02:20;2025-01-09 08:35;93939,1568;94732,61540000001;0,84;DOWN;93888,7;Close Breakout;93888,7;0;WIN;2;1,0;48,58;Si;Si;76;36;2,9;45.0
9;2025-01-09 08:10;2025-01-09 09:00;93155,13174999999;93749,55859999999;0,64;DOWN;93033,9;Close Breakout;93033,9;0;WIN;2;3,0;53,95;Si;Si;11;29;2,3;59.0
10;2025-01-10 08:30;2025-01-10 12:50;94623,50284999999;95096,9438;0,5;DOWN;93425,7;Close Breakout;93425,7;0;LOSS;-1;2,0;20,91;Si;Si;53;23;1,8;63.0
11;2025-01-12 17:10;2025-01-12 19:25;94027,71925000001;94836,31615;0,86;DOWN;94000;Close Breakout;94000;0;LOSS;-1;1,0;43,58;Si;Si;28;401;33,3;55.0
12;2025-01-13 15:35;2025-01-13 17:15;91631,27185;92493,996;0,94;UP;92578,2;Close Breakout;92578,2;0;WIN;2;3,0;32,59;Si;Si;21;26;2,1;48.0
13;2025-01-14 04:05;2025-01-14 20:55;94595,58735000002;95597,6;1,05;UP;95709,7;Close Breakout;95709,7;0;WIN;2;5,0;34,13;Si;Si;203;46;3,8;53.0
14;2025-01-16 03:40;2025-01-16 09:50;99355,17565;99953,40860000001;0,6;DOWN;99029,1;Close Breakout;99029,1;0;WIN;2;7,0;50,84;Si;Si;75;143;11,8;59.0
15;2025-01-16 20:30;2025-01-17 07:45;99700,99995;100414,05909999998;0,71;UP;100497;Close Breakout;100497;0;WIN;2;9,0;22,0;Si;Si;136;31;2,5;58.0
16;2025-01-17 07:15;2025-01-17 10:05;101142,08524999997;102505,5653;1,34;UP;102614,5;Close Breakout;102614,5;0;WIN;2;11,0;42,0;Si;Si;35;86;7,1;50.0
17;2025-01-17 22:35;2025-01-18 03:05;104030,00074999999;104664,21755000002;0,61;DOWN;103753,5;Close Breakout;103753,5;0;WIN;2;13,0;61,32;Si;Si;55;43;3,5;60.0
18;2025-01-18 06:35;2025-01-18 10:35;102814,42025000001;103342,15255;0,51;UP;103439;Close Breakout;103439;0;WIN;2;15,0;35,55;Si;Si;49;25;2;60.0
19;2025-01-20 01:35;2025-01-20 01:45;101872,30040000001;103042,86074999999;1,14;UP;103477,2;Close Breakout;103477,2;0;WIN;2;17,0;17,83;Si;Si;3;24;1,9;53.0
20;2025-01-20 10:45;2025-01-20 12:40;106389,9;109008,65835000003;2,43;DOWN;105857,4;Close Breakout;105857,4;0;WIN;2;19,0;20,19;Si;Si;24;78;6,4;47.0
21;2025-01-21 07:15;2025-01-22 23:15;102966,89310000002;103995,5;0,99;UP;104697,1;Close Breakout;104697,1;0;LOSS;-1;18,0;8,07;Si;Si;481;22;1,8;56.0
22;2025-01-22 18:50;2025-01-22 23:15;103710,1407;105464;1,68;DOWN;103669,8;Close Breakout;103669,8;0;WIN;2;20,0;53,56;Si;Si;54;416;34,6;44.0
23;2025-01-22 21:00;2025-01-23 09:30;102705,9;103708,28064999999;0,97;DOWN;102565,6;Close Breakout;102565,6;0;LOSS;-1;19,0;39,67;Si;Si;151;26;2,1;56.0
24;2025-01-23 04:30;2025-01-23 09:30;102089,1137;102717,75715;0,61;DOWN;101872,7;Close Breakout;101872,7;0;LOSS;-1;18,0;48,64;Si;Si;61;35;2,8;58.0
25;2025-01-24 09:40;2025-01-24 15:40;104785,2;105711,7;0,88;UP;106195,4;Close Breakout;106195,4;0;LOSS;-1;17,0;14,93;Si;Si;73;63;5,2;57.0
26;2025-01-24 12:45;2025-01-24 15:15;105573,73409999999;106490,6;0,86;UP;106552,4;Close Breakout;106552,4;0;LOSS;-1;16,0;19,21;Si;Si;31;30;2,4;58.0
27;2025-01-24 17:55;2025-01-25 23:25;104814,43980000001;105419,4927;0,58;DOWN;104720,7;Close Breakout;104720,7;0;LOSS;-1;15,0;64,1;Si;Si;355;24;1,9;59.0
28;2025-01-25 10:10;2025-01-25 12:15;104426,1559;104743,80715;0,3;UP;104874,5;Close Breakout;104874,5;0;LOSS;-1;14,0;47,05;Si;Si;26;21;1,7;61.0
29;2025-01-25 18:55;2025-01-25 22:45;104809,1;105237,4;0,41;DOWN;104709,4;Close Breakout;104709,4;0;LOSS;-1;13,0;103,47;Si;Si;47;42;3,4;59.0
30;2025-01-25 22:35;2025-01-26 04:30;104471,68330000002;104799,9;0,31;UP;104895,8;Close Breakout;104895,8;0;LOSS;-1;12,0;58,92;Si;Si;72;43;3,5;61.0
31;2025-01-26 16:00;2025-01-26 18:05;104818,9073;105218,15715000001;0,38;DOWN;104708,9;Close Breakout;104708,9;0;WIN;2;14,0;93,47;Si;Si;26;166;13,8;60.0
32;2025-01-27 15:20;2025-01-27 16:10;98590,0518;99910,74675;1,33;UP;100318,3;Close Breakout;100318,3;0;WIN;2;16,0;26,63;Si;Si;11;112;9,2;55.0
33;2025-01-30 09:45;2025-01-30 19:05;104628;105294,09065;0,63;UP;105740,7;Close Breakout;105740,7;0;LOSS;-1;15,0;18,34;Si;Si;113;34;2,8;61.0
34;2025-01-30 15:35;2025-01-30 22:05;105289,11709999999;105746,2031;0,43;DOWN;105040,9;Close Breakout;105040,9;0;WIN;2;17,0;82,53;Si;Si;79;21;1,7;60.0
35;2025-01-30 18:50;2025-01-31 10:30;104772,00885000001;105302,7823;0,51;DOWN;104756,8;Close Breakout;104756,8;0;LOSS;-1;16,0;100,11;Si;Si;189;39;3,2;59.0
36;2025-01-31 10:25;2025-01-31 13:25;103998,70575000001;104973,7;0,93;UP;105114,8;Close Breakout;105114,8;0;LOSS;-1;15,0;19,76;Si;Si;37;124;10,2;48.0
37;2025-02-01 21:05;2025-02-01 22:10;101035,1336;101395,4364;0,36;DOWN;100885;Close Breakout;100885;0;WIN;2;17,0;78,09;Si;Si;14;20;1,6;61.0
38;2025-02-02 02:25;2025-02-02 06:45;100001,98490000001;100470,60725;0,47;DOWN;99837,6;Close Breakout;99837,6;0;WIN;2;19,0;66,97;Si;Si;53;22;1,8;61.0
39;2025-02-03 09:30;2025-02-03 13:50;93369,27840000001;95424,50065000002;2,18;UP;96016,8;Close Breakout;96016,8;0;WIN;2;21,0;15,65;Si;Si;53;145;12;45.0
40;2025-02-04 00:00;2025-02-04 14:35;99960,62009999999;101038,57185;1,07;DOWN;99484,3;Close Breakout;99484,3;0;LOSS;-1;20,0;31,86;Si;Si;176;26;2,1;53.0
41;2025-02-09 12:15;2025-02-09 15:35;96297,7377;96582,1423;0,29;DOWN;96177,8;Close Breakout;96177,8;0;LOSS;-1;19,0;81,08;Si;Si;41;23;1,8;61.0
42;2025-02-09 15:25;2025-02-09 16:30;95850,1;96242,06525;0,41;UP;96454,7;Close Breakout;96454,7;0;LOSS;-1;18,0;45,72;Si;Si;14;37;3;60.0
43;2025-02-11 07:05;2025-02-11 07:10;97118,56665;98186,8;1,09;UP;97891,6;Close Breakout;97891,6;0;LOSS;-1;17,0;432,09;Si;Si;2;315;26,2;52.0
44;2025-02-11 11:25;2025-02-11 13:20;96758,37735000001;97089,33265000001;0,34;DOWN;96608,7;Close Breakout;96608,7;0;WIN;2;19,0;77,08;Si;Si;24;20;1,6;63.0
45;2025-02-12 08:20;2025-02-12 08:30;95752,73735000001;96337,527;0,61;UP;96448,7;Close Breakout;96448,7;0;LOSS;-1;18,0;66,19;Si;Si;3;155;12,8;58.0
46;2025-02-12 23:45;2025-02-13 01:35;97113,16845;97874,51134999999;0,78;DOWN;97072,2;Close Breakout;97072,2;0;WIN;2;20,0;75,06;Si;Si;23;33;2,7;49.0
47;2025-02-13 01:30;2025-02-14 09:50;96390,31334999998;96934,80664999998;0,56;DOWN;96332,4;Close Breakout;96332,4;0;LOSS;-1;19,0;29,5;Si;Si;389;20;1,6;60.0
48;2025-02-13 11:25;2025-02-13 16:05;95468,8;96342;0,91;DOWN;95401,1;Close Breakout;95401,1;0;LOSS;-1;18,0;34,2;Si;Si;57;57;4,7;51.0
49;2025-02-14 11:55;2025-02-16 18:00;96500,1;97377,6;0,91;UP;97626;Close Breakout;97626;0;LOSS;-1;17,0;23,99;Si;Si;650;95;7,8;56.0
50;2025-02-17 01:00;2025-02-17 10:45;95830,5;96270,1;0,46;UP;96299,9;Close Breakout;96299,9;0;LOSS;-1;16,0;52,41;Si;Si;118;40;3,2;59.0
51;2025-02-17 10:40;2025-02-18 12:20;96140,07449999999;96850;0,74;DOWN;96069,6;Close Breakout;96069,6;0;WIN;2;18,0;46,36;Si;Si;309;41;3,3;54.0
52;2025-02-18 00:10;2025-02-18 03:45;95918,42455000001;96328,24845000001;0,43;DOWN;95884,3;Close Breakout;95884,3;0;WIN;2;20,0;98,03;Si;Si;44;47;3,8;55.0
53;2025-02-18 07:15;2025-02-18 09:20;95524,89475000002;95839,57179999999;0,33;UP;95841,9;Close Breakout;95841,9;0;WIN;2;22,0;93,31;Si;Si;26;35;2,8;61.0
54;2025-02-18 09:40;2025-02-18 11:35;96046,19325000001;96582,9;0,56;DOWN;95899,9;Close Breakout;95899,9;0;WIN;2;24,0;66,5;Si;Si;24;24;1,9;61.0
55;2025-02-19 05:00;2025-02-19 10:00;94996,07499999998;95938,69379999998;0,99;UP;96427,7;Close Breakout;96427,7;0;LOSS;-1;23,0;35,4;Si;Si;61;81;6,7;53.0
56;2025-02-19 09:40;2025-02-19 09:40;96077;96676,5;0,62;DOWN;95969,4;Close Breakout;95969,4;0;LOSS;-1;22,0;73,61;Si;Si;1;30;2,4;61.0
57;2025-02-20 08:55;2025-02-20 09:50;96564,68195000001;97489,7;0,95;UP;97510,1;Close Breakout;97510,1;0;LOSS;-1;21,0;71,26;Si;Si;12;158;13,1;54.0
58;2025-02-21 06:20;2025-02-21 10:25;98049,47365;98643,5;0,6;UP;98730,7;Close Breakout;98730,7;0;LOSS;-1;20,0;40,99;Si;Si;50;40;3,2;59.0
59;2025-02-21 17:20;2025-02-22 07:40;95000,0488;95585,62315000001;0,61;UP;95629,2;Close Breakout;95629,2;0;WIN;2;22,0;52,34;Si;Si;173;32;2,6;49.0
60;2025-02-23 00:50;2025-02-23 02:55;96260,9;96799,5;0,56;DOWN;96248,2;Close Breakout;96248,2;0;LOSS;-1;21,0;124,01;Si;Si;26;245;20,3;43.0
61;2025-02-24 03:15;2025-02-24 04:25;95625,7;95957,1;0,35;DOWN;95610;Close Breakout;95610;0;LOSS;-1;20,0;100,8;Si;Si;15;168;13,9;61.0
62;2025-02-25 01:50;2025-02-25 02:25;91451,30495;92388,41085;1,02;DOWN;91272,6;Close Breakout;91272,6;0;WIN;2;22,0;36,64;Si;Si;8;36;2,9;53.0
63;2025-02-25 09:35;2025-02-25 10:15;88586,8287;89597,21860000001;1,13;DOWN;88487,9;Close Breakout;88487,9;0;WIN;2;24,0;27,72;Si;Si;9;35;2,8;55.0
64;2025-02-26 05:50;2025-02-26 06:30;88194,44824999999;89278,98700000001;1,22;UP;89152,1;Close Breakout;89152,1;0;LOSS;-1;23,0;121,26;Si;Si;9;41;3,3;51.0
65;2025-02-27 09:40;2025-02-27 15:10;85821,8;86891,0762;1,24;DOWN;85533,5;Close Breakout;85533,5;0;WIN;2;25,0;21,26;Si;Si;67;44;3,6;54.0
66;2025-02-27 20:20;2025-02-27 20:30;84083,9;84985,64000000001;1,07;DOWN;83863,3;Close Breakout;83863,3;0;WIN;2;27,0;23,68;Si;Si;3;101;8,3;56.0
67;2025-02-28 04:20;2025-02-28 10:05;78425,9695;79464,73959999999;1,32;UP;79712;Close Breakout;79712;0;WIN;2;29,0;30,93;Si;Si;70;22;1,8;59.0
68;2025-02-28 21:10;2025-02-28 23:35;83702,92654999999;84629,9;1,1;UP;84661,4;Close Breakout;84661,4;0;WIN;2;31,0;48,66;Si;Si;30;25;2;55.0
69;2025-03-01 21:25;2025-03-02 01:25;85985,75805;86399,6;0,48;DOWN;85965,1;Close Breakout;85965,1;0;LOSS;-1;30,0;71,98;Si;Si;49;23;1,8;58.0
70;2025-03-02 09:35;2025-03-02 10:25;85362;86171,6;0,94;DOWN;85132,6;Close Breakout;85132,6;0;LOSS;-1;29,0;34,06;Si;Si;11;119;9,8;54.0
71;2025-03-02 19:55;2025-03-03 09:50;93452,7;94836,3;1,47;DOWN;93320,1;Close Breakout;93320,1;0;WIN;2;31,0;21,83;Si;Si;168;59;4,8;50.0
72;2025-03-03 01:40;2025-03-03 08:40;92223,1947;93514,20349999999;1,39;DOWN;91972,8;Close Breakout;91972,8;0;LOSS;-1;30,0;23,68;Si;Si;85;43;3,5;49.0
73;2025-03-03 05:35;2025-03-03 09:40;91414,90969999997;92180,95029999998;0,83;UP;92386,1;Close Breakout;92386,1;0;LOSS;-1;29,0;38,94;Si;Si;50;20;1,6;58.0
74;2025-03-03 09:35;2025-03-03 13:25;92652,59525;93633,8;1,05;DOWN;91620;Close Breakout;91620;0;WIN;2;31,0;15,28;Si;Si;47;32;2,6;56.0
75;2025-03-03 13:05;2025-03-03 13:35;89804,17485000001;90927,7;1,24;DOWN;89745,1;Close Breakout;89745,1;0;WIN;2;33,0;23,1;Si;Si;7;26;2,1;55.0
76;2025-03-03 20:35;2025-03-04 13:55;85242;86884,39855;1,91;DOWN;84283,1;Close Breakout;84283,1;0;LOSS;-1;32,0;9,84;Si;Si;209;31;2,5;44.0
77;2025-03-04 12:15;2025-03-05 05:25;81970,6;84196,4441;2,68;UP;84470;Close Breakout;84470;0;WIN;2;34,0;16,68;Si;Si;207;68;5,6;52.0
78;2025-03-05 05:20;2025-03-05 11:10;86470,6501;88667;2,51;UP;88804,9;Close Breakout;88804,9;0;LOSS;-1;33,0;31,59;Si;Si;71;89;7,3;41.0
79;2025-03-05 20:45;2025-03-06 07:45;89828,32185000001;90751,26355000002;1,02;UP;91819;Close Breakout;91819;0;LOSS;-1;32,0;18,48;Si;Si;133;24;1,9;54.0
80;2025-03-06 07:15;2025-03-06 09:30;90923,34100000001;91540,93075000001;0,68;DOWN;90786,7;Close Breakout;90786,7;0;WIN;2;34,0;40,08;Si;Si;28;21;1,7;58.0
81;2025-03-07 11:20;2025-03-09 17:30;88022,6;90655,27855;2,95;DOWN;87754,6;Close Breakout;87754,6;0;WIN;2;36,0;8,28;Si;Si;651;207;17,2;48.0
82;2025-03-09 04:50;2025-03-09 05:50;85676,99415;86600,48935;1,07;DOWN;85649,9;Close Breakout;85649,9;0;WIN;2;38,0;61,79;Si;Si;13;260;21,6;45.0
83;2025-03-10 03:30;2025-03-10 04:15;81799,9;82608,80410000001;0,98;DOWN;81752,6;Close Breakout;81752,6;0;LOSS;-1;37,0;36,93;Si;Si;10;27;2,2;64.0
84;2025-03-10 19:15;2025-03-10 22:10;78563,2;79947,92954999999;1,75;DOWN;78407,1;Close Breakout;78407,1;0;LOSS;-1;36,0;14,47;Si;Si;36;41;3,3;47.0
85;2025-03-14 10:00;2025-03-16 06:35;80103,1;83871,1;4,6;UP;83968,5;Close Breakout;83968,5;0;LOSS;-1;35,0;30,5;Si;Si;536;925;77;45.0
86;2025-03-14 15:15;2025-03-16 11:05;84150,33954999999;84827,9;0,8;DOWN;83988,1;Close Breakout;83988,1;0;LOSS;-1;34,0;25,86;Si;Si;527;36;2,9;57.0
87;2025-03-15 06:30;2025-03-16 05:25;83679,86100000002;83984,59085;0,36;UP;84034,1;Close Breakout;84034,1;0;LOSS;-1;33,0;102,95;Si;Si;276;42;3,4;64.0
88;2025-03-16 04:15;2025-03-16 05:25;84095,7;84479,64014999999;0,46;DOWN;84066,8;Close Breakout;84066,8;0;WIN;2;35,0;126,79;Si;Si;15;201;16,7;59.0
89;2025-03-16 17:05;2025-03-16 20:00;82638,6;83316,34435;0,82;DOWN;82348,8;Close Breakout;82348,8;0;LOSS;-1;34,0;26,91;Si;Si;36;34;2,8;57.0
90;2025-03-18 05:15;2025-03-18 09:15;82738,2912;84281,98999999999;1,85;DOWN;82584,1;Close Breakout;82584,1;0;WIN;2;36,0;30,96;Si;Si;49;370;30,8;44.0
91;2025-03-18 19:25;2025-03-19 13:00;81864,30690000001;82835,92235000001;1,18;UP;82887;Close Breakout;82887;0;WIN;2;38,0;42,91;Si;Si;212;151;12,5;53.0
92;2025-03-19 06:15;2025-03-19 10:40;83237,02835;83760,4;0,63;UP;83777,3;Close Breakout;83777,3;0;WIN;2;40,0;98,91;Si;Si;54;38;3,1;59.0
93;2025-03-20 09:15;2025-03-20 10:35;85067,2;86206,8;1,33;UP;86297,1;Close Breakout;86297,1;0;LOSS;-1;39,0;31,42;Si;Si;17;102;8,4;51.0
94;2025-03-23 06:25;2025-03-23 18:55;83781,3274;84803,16279999999;1,21;UP;84859;Close Breakout;84859;0;WIN;2;41,0;69,58;Si;Si;151;779;64,8;50.0
95;2025-03-24 17:10;2025-03-24 22:15;87819,5;88525,8806;0,8;DOWN;87717,7;Close Breakout;87717,7;0;WIN;2;43,0;54,28;Si;Si;62;51;4,2;57.0
96;2025-03-24 20:25;2025-03-25 08:20;87096,51895;87611;0,59;DOWN;87035,5;Close Breakout;87035,5;0;LOSS;-1;42,0;44,45;Si;Si;144;32;2,6;60.0
97;2025-03-29 04:40;2025-03-29 06:20;83572,93315;83911,64235;0,4;DOWN;83465,5;Close Breakout;83465,5;0;WIN;2;44,0;53,22;Si;Si;21;44;3,6;62.0
98;2025-03-29 19:05;2025-03-30 11:50;82217,5092;82649,3523;0,52;UP;82651,7;Close Breakout;82651,7;0;LOSS;-1;43,0;101,06;Si;Si;202;115;9,5;49.0
99;2025-03-30 04:45;2025-03-30 05:20;82821,7;83434,41005;0,74;UP;83437,8;Close Breakout;83437,8;0;LOSS;-1;42,0;186,35;Si;Si;8;76;6,2;54.0
100;2025-03-30 16:40;2025-03-30 17:35;82403,25104999999;82674,13439999998;0,33;DOWN;82218,9;Close Breakout;82218,9;0;LOSS;-1;41,0;48,77;Si;Si;12;29;2,3;61.0
101;2025-03-31 07:40;2025-03-31 08:30;81701;82266,5368;0,69;UP;82445,1;Close Breakout;82445,1;0;LOSS;-1;40,0;76,58;Si;Si;11;92;7,6;58.0
102;2025-04-02 15:10;2025-04-02 15:10;86120,9859;86940,6;0,95;UP;87711,3;Close Breakout;87711,3;0;LOSS;-1;39,0;24,23;Si;Si;1;31;2,5;56.0
103;2025-04-03 07:20;2025-04-04 02:45;82824,4814;83499,246;0,81;DOWN;82700,1;Close Breakout;82700,1;0;LOSS;-1;38,0;22,49;Si;Si;234;24;1,9;58.0
104;2025-04-03 15:50;2025-04-04 02:10;81747,95755;82293,54539999999;0,67;UP;82350,8;Close Breakout;82350,8;0;WIN;2;40,0;77,6;Si;Si;125;27;2,2;59.0
105;2025-04-04 02:10;2025-04-04 05:50;82358,56025000002;83415,57354999999;1,28;UP;83501,3;Close Breakout;83501,3;0;LOSS;-1;39,0;47,51;Si;Si;45;121;10;50.0
106;2025-04-05 07:25;2025-04-05 08:20;83415,54655000001;83848,1464;0,52;DOWN;83402,2;Close Breakout;83402,2;0;WIN;2;41,0;90,86;Si;Si;12;38;3,1;52.0
107;2025-04-06 01:35;2025-04-06 08:25;83287,28004999999;83545,76995;0,31;DOWN;83177,9;Close Breakout;83177,9;0;WIN;2;43,0;72,31;Si;Si;83;29;2,3;64.0
108;2025-04-07 08:50;2025-04-07 09:15;75750;77639,6;2,46;UP;77747,7;Close Breakout;77747,7;0;WIN;2;45,0;35,29;Si;Si;6;116;9,6;51.0
109;2025-04-09 06:00;2025-04-09 08:30;76906,35154999999;77684,35990000001;1,01;DOWN;76238,1;Close Breakout;76238,1;0;LOSS;-1;44,0;12,51;Si;Si;31;38;3,1;56.0
110;2025-04-09 07:45;2025-04-09 12:15;75892,87809999999;76588,02189999998;0,91;UP;76818,2;Close Breakout;76818,2;0;WIN;2;46,0;45,85;Si;Si;55;21;1,7;69.0
111;2025-04-09 15:50;2025-04-09 19:40;81812,00555;82762,75975;1,16;UP;82936,3;Close Breakout;82936,3;0;LOSS;-1;45,0;51,13;Si;Si;47;22;1,8;58.0
112;2025-04-10 08:35;2025-04-11 05:05;81400,3;81971,1;0,7;DOWN;81125,9;Close Breakout;81125,9;0;LOSS;-1;44,0;15,56;Si;Si;247;39;3,2;61.0
113;2025-04-10 20:50;2025-04-11 05:15;79030,6;80101,47699999998;1,35;UP;80160,1;Close Breakout;80160,1;0;WIN;2;46,0;37,33;Si;Si;102;71;5,8;50.0
114;2025-04-11 04:20;2025-04-11 12:35;80839,37479999999;81700,9;1,06;UP;81739,9;Close Breakout;81739,9;0;WIN;2;48,0;44,86;Si;Si;100;35;2,8;48.0
115;2025-04-11 08:30;2025-04-11 09:20;81850;82334,4767;0,59;UP;82425;Close Breakout;82425;0;LOSS;-1;47,0;70,65;Si;Si;11;23;1,8;62.0
