sep=;
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 2, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "va_breakout", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "swing_previous", "atr_dyn_period": 200, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.3, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 25, "ttm_kc_multiplier": 1.8, "ttm_min_squeeze_bars": 5, "use_bbwp_scoring": true, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 45, "atr_dyn_min_bars": 20, "sl_poc_buffer_pct": 10, "vp_bins_per_zone": 30}
# Fecha: 2026-02-06T17:30:21.424311
zona_num;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;sl_price;tp_price;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score;vp_poc;vp_vah;vp_val
1;2025-01-05 09:15;2025-01-05 09:45;97513,8;98459,97575;0,97;DOWN;97265,6;VA Breakout;97265,6;0;97870,92;96054,95;LOSS;-1;-1,0;61,75;Si;Si;7;400;33,2;53.0;97815,89;98188,99;97574,48
2;2025-01-07 05:00;2025-01-07 05:15;101540,70464999999;101956,3;0,41;DOWN;101566,4;VA Breakout;101566,4;0;101674,27;101350,66;WIN;2;1,0;386,37;Si;Si;4;35;2,8;60.0;101664,46;101816,38;101605,02
3;2025-01-08 01:25;2025-01-08 01:25;95996,44675000002;96734,9065;0,77;DOWN;96162,7;VA Breakout;96162,7;0;96280,92;95926,25;LOSS;-1;0,0;306,83;Si;Si;1;35;2,8;59.0;96270,18;96528,15;96163,95
4;2025-01-08 06:25;2025-01-08 06:30;95402,9;96152,12235;0,78;DOWN;95501,6;VA Breakout;95501,6;0;95739,14;95026,52;WIN;2;2,0;149,93;Si;Si;2;40;3,2;51.0;95717,54;95973,85;95558,88
5;2025-01-08 17:15;2025-01-08 21:05;93740,60205;94750;1,07;UP;94583,1;VA Breakout;94583,1;0;93852,07;96045,17;LOSS;-1;1,0;43,18;Si;Si;47;25;2;46.0;93918,52;94443,5;93667,45
6;2025-01-08 21:05;2025-01-09 15:20;94608,78490000001;95405,67064999997;0,84;DOWN;93865,4;VA Breakout;93865,4;0;95121,01;91354,19;WIN;2;3,0;27,06;Si;Si;220;45;3,7;55.0;95006,86;95201,16;94890,28
7;2025-01-09 02:15;2025-01-09 02:55;93939,1568;94732,61540000001;0,84;DOWN;93958,5;VA Breakout;93958,5;0;94321,87;93231,77;WIN;2;5,0;93,76;Si;Si;9;36;2,9;55.0;94288,83;94484,33;94119,4
8;2025-01-10 08:30;2025-01-10 12:50;94623,50284999999;95096,9438;0,5;DOWN;93425,7;VA Breakout;93425,7;0;94988,63;90299,84;LOSS;-1;4,0;21,46;Si;Si;53;23;1,8;63.0;94846,55;94967,25;94725,85
9;2025-01-12 17:10;2025-01-12 19:00;94027,71925000001;94836,31615;0,86;DOWN;94000;VA Breakout;94000;0;94572,31;92855,37;LOSS;-1;3,0;59,6;Si;Si;23;401;33,3;55.0;94520,29;94965,26;94134,64
10;2025-01-13 15:30;2025-01-13 15:30;91631,27185;92493,996;0,94;UP;92442;VA Breakout;92442;0;92069,47;93187,07;LOSS;-1;2,0;90,48;Si;Si;1;26;2,1;58.0;92103,33;92309,6;91897,07
