# Parametros: {"consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 2, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 5}
# Fecha: 2026-02-04T20:03:15.261473
zona_num;fecha_inicio;fecha_fin;precio_min;precio_max;rango_pct;direccion_breakout;resultado;pnl_r;r_multiple;alcanzo_2r;alcanzo_3r;velas_en_zona;duracion_horas;score
1;2026-02-02 16:55;2026-02-02 21:00;78427,6;78825,4;0,51;DOWN;WIN;2,0;2,08;Sí;No;50;4,1;93.0
2;2026-02-04 04:20;2026-02-04 08:25;75908,4;76282,5;0,49;DOWN;WIN;2,0;10,21;Sí;Sí;50;4,1;88.0
3;2026-02-03 04:35;2026-02-03 08:40;78161,9;78517,1;0,45;DOWN;WIN;2,0;14,84;Sí;Sí;50;4,1;74.0
4;2026-01-30 20:05;2026-01-31 00:10;83860,7;84224,3;0,43;DOWN;WIN;2,0;8,56;Sí;Sí;50;4,1;74.0
5;2026-02-04 01:20;2026-02-04 03:20;76372,7;76759,4;0,51;DOWN;WIN;2,0;8,59;Sí;Sí;25;2,0;74.0
6;2026-01-31 01:00;2026-01-31 02:30;83595,0;84006,1;0,49;DOWN;WIN;2,0;6,92;Sí;Sí;19;1,5;73.0
7;2026-02-01 00:45;2026-02-01 01:45;78483,5;78769,6;0,36;DOWN;WIN;2,0;4,49;Sí;Sí;13;1,0;73.0
8;2026-01-31 04:20;2026-01-31 08:25;82840,3;83281,0;0,53;DOWN;WIN;2,0;16,23;Sí;Sí;50;4,1;73.0
9;2026-02-03 22:25;2026-02-04 00:35;76346,4;76991,2;0,84;DOWN;WIN;2,0;2,36;Sí;No;27;2,2;70.0
10;2026-02-02 05:55;2026-02-02 07:10;77400,0;77847,9;0,58;UP;WIN;2,0;3,44;Sí;Sí;16;1,2;54.0
11;2026-02-01 05:45;2026-02-01 06:30;78116,0;78488,8;0,48;UP;LOSS;-1,0;0,95;No;No;10;0,8;54.0
12;2026-01-31 21:55;2026-02-01 00:40;78628,0;79022,3;0,5;DOWN;WIN;2,0;2,01;Sí;No;34;2,8;52.0
13;2026-02-03 00:05;2026-02-03 03:30;78237,4;78775,1;0,69;UP;LOSS;-1,0;0,49;No;No;42;3,4;42.0
14;2026-02-02 15:50;2026-02-02 16:50;77850,9;78419,1;0,73;UP;LOSS;-1,0;1,34;No;No;13;1,0;40.0
15;2026-02-01 02:30;2026-02-01 04:30;78136,1;78693,1;0,71;UP;LOSS;-1,0;0,89;No;No;25;2,0;29.0
