sep=;
# Multi-simbolo: BTCUSDT, ETHUSDT, XRPUSDT, TRXUSDT, GALAUSDT, SUIUSDT, SOLUSDT, ADAUSDT, DOGEUSDT, BNBUSDT
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 6, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "va_breakout", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "zone_opposite", "atr_dyn_period": 100, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.5, "atr_dyn_min_bars": 20, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 30, "ttm_kc_multiplier": 1, "ttm_min_squeeze_bars": 10, "use_bbwp_scoring": false, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 30, "use_continuation_score": false, "sl_poc_buffer_pct": 50, "vp_bins_per_zone": 30, "tp_rr_ratio": 1}
# Fecha: 2026-02-08T11:23:54.045562
zona_num;simbolo;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;sl_price;tp_price;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
1;SOLUSDT;2025-11-10 12:32;2025-11-10 12:38;166,20760000000004;167,24575000000002;0,62;UP;167,18;VA Breakout;167,18;0;166,67;167,69;WIN;2;2,0;9,18;Si;Si;7;30;0,5;61.0
2;ETHUSDT;2025-11-10 12:37;2025-11-10 12:45;3519,5358499999998;3539,6856999999995;0,57;UP;3538,07;VA Breakout;3538,07;0;3523,12;3553,02;WIN;2;4,0;7,31;Si;Si;9;47;0,8;64.0
3;BNBUSDT;2025-11-10 12:38;2025-11-10 12:41;980,5805;984,1665;0,37;UP;983,8;VA Breakout;983,8;0;981,86;985,74;WIN;2;6,0;12,8;Si;Si;4;26;0,4;67.0
4;BTCUSDT;2025-11-10 12:43;2025-11-10 13:01;105097,4685;105645,4;0,52;UP;105588,7;VA Breakout;105588,7;0;105163,74;106013,66;WIN;2;8,0;4,45;Si;Si;19;48;0,8;64.0
5;TRXUSDT;2025-11-10 12:45;2025-11-10 14:04;0,29406000000000004;0,29444695;0,13;UP;0,2948;VA Breakout;0,2948;0;0,29;0,3;WIN;2;10,0;36,47;Si;Si;80;40;0,7;66.0
6;XRPUSDT;2025-11-10 13:08;2025-11-10 15:36;2,5250060000000003;2,5639334999999996;1,53;DOWN;2,5396;VA Breakout;2,5396;0;2,57;2,51;LOSS;-1;9,0;52,98;Si;Si;149;73;1,2;61.0
7;SOLUSDT;2025-11-10 13:53;2025-11-10 13:56;166,38770000000002;167,1589;0,46;DOWN;166,43;VA Breakout;166,43;0;166,9;165,96;WIN;2;11,0;210,45;Si;Si;4;43;0,7;52.0
8;BTCUSDT;2025-11-10 13:54;2025-11-10 13:57;105714,129;105986,893;0,26;DOWN;105721,9;VA Breakout;105721,9;0;105890,95;105552,85;WIN;2;13,0;271,13;Si;Si;4;34;0,6;65.0
9;ETHUSDT;2025-11-10 13:54;2025-11-10 13:54;3533,5280500000003;3555,6381;0,62;DOWN;3541,19;VA Breakout;3541,19;0;3546,98;3535,4;LOSS;-1;12,0;310,83;Si;Si;1;74;1,2;65.0
10;DOGEUSDT;2025-11-10 13:54;2025-11-10 13:59;0,1783293;0,1803457;1,12;DOWN;0,17893;VA Breakout;0,17893;0;0,18;0,18;WIN;2;14,0;193,25;Si;Si;6;104;1,7;62.0
11;SUIUSDT;2025-11-10 13:55;2025-11-10 14:41;2,1337449999999993;2,1676915;1,58;DOWN;2,1405;VA Breakout;2,1405;0;2,16;2,13;LOSS;-1;13,0;87,43;Si;Si;47;116;1,9;59.0
12;ADAUSDT;2025-11-10 13:55;2025-11-10 14:09;0,5818675000000001;0,5882;1,08;DOWN;0,585;VA Breakout;0,585;0;0,59;0,58;LOSS;-1;12,0;127,96;Si;Si;15;109;1,8;62.0
13;BNBUSDT;2025-11-10 13:55;2025-11-10 14:39;982,9735;986,9590000000001;0,4;DOWN;983,4;VA Breakout;983,4;0;985,85;980,95;LOSS;-1;11,0;168,86;Si;Si;45;69;1,1;66.0
14;GALAUSDT;2025-11-10 13:57;2025-11-10 14:16;0,010315365;0,010494;1,72;DOWN;0,010352;VA Breakout;0,010352;0;0,01;0,01;LOSS;-1;10,0;80,74;Si;Si;20;109;1,8;59.0
15;ETHUSDT;2025-11-10 14:39;2025-11-10 14:41;3534,3;3550,229;0,45;UP;3554,7;VA Breakout;3554,7;0;3542,28;3567,12;WIN;2;12,0;7,46;Si;Si;3;34;0,6;65.0
16;BNBUSDT;2025-11-10 14:39;2025-11-10 15:09;982,3;985,0395;0,28;UP;985,9;VA Breakout;985,9;0;982,68;989,12;WIN;2;14,0;7,05;Si;Si;31;35;0,6;65.0
17;BTCUSDT;2025-11-10 14:44;2025-11-10 15:12;105456,1;105803,4;0,33;UP;105732,8;VA Breakout;105732,8;0;105453,9;106011,7;WIN;2;16,0;6,27;Si;Si;29;41;0,7;63.0
18;XRPUSDT;2025-11-10 14:58;2025-11-10 15:35;2,5446;2,5608;0,63;DOWN;2,5472;VA Breakout;2,5472;0;2,56;2,53;LOSS;-1;15,0;109,91;Si;Si;38;48;0,8;64.0
19;BNBUSDT;2025-11-10 15:08;2025-11-10 15:13;986,4250000000001;988,729;0,23;UP;988,5;VA Breakout;988,5;0;986,45;990,55;WIN;2;17,0;9,82;Si;Si;6;28;0,5;43.0
20;XRPUSDT;2025-11-10 15:35;2025-11-10 15:39;2,5445;2,5572744999999997;0,5;UP;2,5596;VA Breakout;2,5596;0;2,55;2,57;WIN;2;19,0;1,4;No;No;5;25;0,4;65.0
21;SOLUSDT;2025-11-10 15:36;2025-11-10 15:47;166,80939999999998;167,81;0,6;UP;167,58;VA Breakout;167,58;0;166,99;168,17;WIN;2;21,0;7,27;Si;Si;12;50;0,8;64.0
