sep=;
# Multi-simbolo: ETHUSDT, XRPUSDT, BTCUSDT, TRXUSDT, GALAUSDT, SUIUSDT, TRBUSDT, SOLUSDT, ADAUSDT, DOGEUSDT
# Parametros: {"detection_method": "atr_dynamic", "consol_min_bars": 8, "consol_max_bars": 50, "consol_max_range_pct": 6, "consol_atr_ratio": 0.6, "consol_body_ratio": 0.5, "consol_max_outside_bars": 3, "lookforward_bars": 100, "max_price_range_pct": 6, "entry_mode": "va_breakout", "position_mode": "concurrent", "swing_bars": 5, "sl_mode": "zone_opposite", "atr_dyn_period": 100, "atr_dyn_ma_period": 20, "atr_dyn_multiplier": 1.5, "atr_dyn_min_bars": 20, "atr_dyn_max_breakout": 5, "atr_dyn_merge_overlap": true, "use_atr_band": false, "atr_band_period": 200, "atr_band_multiplier": 1, "atr_band_ma_period": 20, "use_reentry": true, "max_reentry_bars": 3, "use_ttm_prefilter": true, "ttm_atr_length": 30, "ttm_kc_multiplier": 1, "ttm_min_squeeze_bars": 10, "use_bbwp_scoring": false, "bbwp_lookback": 252, "bbwp_squeeze_threshold": 20, "use_inside_pct_filter": false, "min_inside_pct": 70, "min_score_filter": 30, "use_continuation_score": false, "sl_poc_buffer_pct": 50, "vp_bins_per_zone": 30, "tp_rr_ratio": 1}
# Fecha: 2026-02-08T08:53:30.852824
zona_num;simbolo;fecha_entrada;fecha_cierre;precio_min;precio_max;rango_pct;direccion;precio_breakout;modo_entrada;precio_entrada;offset_barras;sl_price;tp_price;resultado;pnl_r;equity_r;r_multiple;alcanzo_2r;alcanzo_3r;barras_cierre;velas_en_zona;duracion_horas;score
1;BTCUSDT;2026-02-01 10:47;2026-02-01 10:57;76820,273;77295,746;0,62;UP;77236,5;VA Breakout;77236,5;0;76832,89;77640,11;WIN;2,0;2,0;5,33;Si;Si;11;23;0,4;42.0
2;TRBUSDT;2026-02-01 11:23;2026-02-01 11:23;15,74729;15,941;1,22;UP;15,95;VA Breakout;15,95;0;15,84;16,06;LOSS;-1,0;1,0;6,89;Si;Si;1;34;0,6;63.0
3;DOGEUSDT;2026-02-01 11:24;2026-02-01 11:41;0,103;0,10444245000000002;1,39;UP;0,1044;VA Breakout;0,1044;0;0,1;0,11;LOSS;-1,0;0,0;7,24;Si;Si;18;38;0,6;50.0
4;TRBUSDT;2026-02-01 12:00;2026-02-01 12:10;15,84571;16,034;1,18;UP;16,02;VA Breakout;16,02;0;15,87;16,17;WIN;2,0;2,0;4,39;Si;Si;11;38;0,6;45.0
5;TRXUSDT;2026-02-01 12:58;2026-02-01 13:01;0,28410975000000005;0,284518;0,14;UP;0,28456;VA Breakout;0,28456;0;0,28;0,28;WIN;2,0;4,0;8,14;Si;Si;4;25;0,4;66.0
6;ADAUSDT;2026-02-01 12:58;2026-02-01 13:03;0,28427199999999997;0,291;2,34;DOWN;0,2863;VA Breakout;0,2863;0;0,29;0,28;LOSS;-1,0;3,0;16,0;Si;Si;6;132;2,2;36.0
7;XRPUSDT;2026-02-01 12:59;2026-02-01 13:02;1,576403;1,6029;1,67;UP;1,6011;VA Breakout;1,6011;0;1,59;1,61;WIN;2,0;5,0;4,61;Si;Si;4;155;2,6;60.0
8;BTCUSDT;2026-02-01 12:59;2026-02-01 13:08;77058,54300000002;77785,609;0,94;UP;77719,0;VA Breakout;77719,0;0;77296,94;78141,06;WIN;2,0;7,0;3,95;Si;Si;10;114;1,9;61.0
9;GALAUSDT;2026-02-01 12:59;2026-02-01 13:02;0,004641;0,004722;1,73;UP;0,004704;VA Breakout;0,004704;0;0,0;0,0;WIN;2,0;9,0;8,12;Si;Si;4;133;2,2;60.0
10;SUIUSDT;2026-02-01 12:59;2026-02-01 13:01;1,0924075;1,1101509999999999;1,61;UP;1,1079;VA Breakout;1,1079;0;1,1;1,11;WIN;2,0;11,0;9,54;Si;Si;3;133;2,2;60.0
