ONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 53.92, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 1.49, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.89 (z-score: 1.05, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 1.06, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.89 (z-score: 7.76, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.89 (z-score: 5.74, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.89 (z-score: 5.49, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.89 (z-score: 1.74, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.89 (z-score: 2.90, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.89 (z-score: 4.28, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.89 (z-score: 1.38, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 2.31, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.89 (z-score: 1.33, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 4.70, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.87 (z-score: 5.98, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.87 (z-score: 1.69, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.87 (z-score: 2.20, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.86 (z-score: 1.35, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.86 (z-score: 1.13, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.87 (z-score: 4.13, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.87 (z-score: 9.84, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.86 (z-score: 1.05, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.86 (z-score: 1.56, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.85 (z-score: 7.48, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.87 (z-score: 14.37, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.86 (z-score: 76.36, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.87 (z-score: 11.26, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 1.21, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 1.81, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.89 (z-score: 5.77, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.89 (z-score: 1.59, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 1.05, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 1.09, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 1.38, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.87 (z-score: 2.92, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 7.24, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.87 (z-score: 5.26, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 1.09, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 12.85, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 2.57, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 5.70, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 1.70, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 1.57, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.88 (z-score: 1.41, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.88 (z-score: 1.79, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.91 (z-score: 1.05, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.92 (z-score: 1.12, direction: SHORT)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_LOW @ $1.92 (z-score: 2.14, direction: LONG)
2026-01-21 14:51:01 - swing_detector - INFO - [SWING_DETECTOR] XRPUSDT/1: SWING_HIGH @ $1.93 (z-score: 3.23, direction: SHORT)
