Moneda;Fecha;Hora;Timeframe;Indicador;Direccion;Entrada;StopLoss ($);StopLoss (%);TakeProfit ($);TakeProfit (%);Resultado;P/L (%);P/L ($)
"BTCUSDT";"15/1/2026";"12:32:03 p. m.";"1";"Rejection";"LONG";"96573,60";"96369,50";"0,21";"96981,80";"0,42";"PENDING";"";""
"ETHUSDT";"15/1/2026";"12:23:49 p. m.";"1";"DTB";"LONG";"3315,77";"3309,14";"0,20";"3329,03";"0,40";"WIN";"0,40";"200,00"
"ETHUSDT";"15/1/2026";"12:23:48 p. m.";"1";"DTB";"LONG";"3318,39";"3311,75";"0,20";"3331,66";"0,40";"PENDING";"";""
"ETHUSDT";"15/1/2026";"12:23:43 p. m.";"1";"Rejection";"SHORT";"3319,90";"3330,80";"0,33";"3298,10";"0,66";"PENDING";"";""
"BTCUSDT";"15/1/2026";"12:01:04 p. m.";"1";"DTB";"SHORT";"96695,80";"96946,36";"0,26";"96194,68";"0,52";"PENDING";"";""
"BTCUSDT";"15/1/2026";"12:01:02 p. m.";"1";"Rejection";"LONG";"96667,30";"96297,70";"0,38";"97406,50";"0,76";"PENDING";"";""
"BTCUSDT";"15/1/2026";"12:00:59 p. m.";"1";"Rejection";"SHORT";"96573,50";"96905,06";"0,34";"95910,38";"0,69";"PENDING";"";""
"BTCUSDT";"15/1/2026";"12:00:46 p. m.";"1";"DTB";"SHORT";"96838,00";"97031,68";"0,20";"96450,65";"0,40";"WIN";"0,40";"200,00"
"ETHUSDT";"15/1/2026";"11:45:03 a. m.";"1";"Rejection";"LONG";"3327,46";"3311,17";"0,49";"3360,04";"0,98";"PENDING";"";""

"TOTAL";"2 trades";"2W / 0L";"WR: 100.0%";"";"";"";"";"";"";"";"PROFIT";"0,80";"400,00"
