Rank;Levels;Entry;SL;TP;Exits;Filters;Score;WR%;Trades;W;L;PnL(R);Expect;PF;MaxDD;RecFactor;AvgBars
1;vp_zones;squeeze_release;atr_multiple;next_swing;timeout;vwap_position;79,92;100;4;4;0;6,77;1,692;99,9;0;99,9;1.8
2;vp_zones;squeeze_release;atr_multiple;rr_fixed;reenter_zone;volume_zscore;79,92;100;4;4;0;8;2;99,9;0;99,9;1.2
3;vp_zones;squeeze_release;atr_multiple;rr_fixed;timeout;vwap_position+bbwp_range+volume_zscore;79,92;100;4;4;0;8;2;99,9;0;99,9;1.2
4;vp_zones;squeeze_release;below_swing;next_swing;vwap_reverse+reenter_zone+squeeze_activate+timeout;vwap_position;79,92;100;4;4;0;4,22;1,055;99,9;0;99,9;7.5
5;vp_zones;squeeze_release;below_swing;rr_fixed;squeeze_activate;volume_zscore;79,92;100;4;4;0;5,62;1,405;99,9;0;99,9;7.2
6;vwap_bands;squeeze_release;atr_multiple;next_swing;squeeze_activate;volume_zscore;79,92;100;4;4;0;5,57;1,393;99,9;0;99,9;1
7;vwap_bands;squeeze_release;atr_multiple;rr_fixed;vwap_reverse;vwap_position+bbwp_range+volume_zscore;79,92;100;4;4;0;8;2;99,9;0;99,9;1.2
8;vwap_bands;squeeze_release;below_swing;next_swing;-;vwap_position;79,92;100;4;4;0;5,61;1,403;99,9;0;99,9;20.2
9;vwap_bands;squeeze_release;below_swing;rr_fixed;-;volume_zscore;79,92;100;4;4;0;8;2;99,9;0;99,9;21.2
10;sr_v2;squeeze_release;atr_multiple;next_swing;-;volume_zscore;79,92;100;4;4;0;5,57;1,393;99,9;0;99,9;1
11;sr_v2;squeeze_release;atr_multiple;rr_fixed;vwap_reverse;vwap_position;79,92;100;4;4;0;8;2;99,9;0;99,9;1.8
12;sr_v2;squeeze_release;below_swing;next_swing;vwap_reverse;volume_zscore;79,92;100;4;4;0;5,22;1,305;99,9;0;99,9;10.8
13;sr_v2;squeeze_release;below_swing;rr_fixed;timeout;vwap_position;79,92;100;4;4;0;7,24;1,81;99,9;0;99,9;25
14;sr_v2;swing_confirm;atr_multiple;next_swing;-;bbwp_range;79,92;100;4;4;0;6,49;1,623;99,9;0;99,9;13.8
15;sr_v2;swing_confirm;below_swing;rr_fixed;timeout;-;79,92;100;4;4;0;8;2;99,9;0;99,9;14.2
16;sr_v2;cvd_divergence;below_swing;rr_fixed;vwap_reverse;volume_zscore;79,92;100;4;4;0;3,66;0,915;99,9;0;99,9;1.8
17;vp_zones+vwap_bands;squeeze_release;atr_multiple;next_swing;timeout;vwap_position;79,92;100;4;4;0;6,77;1,692;99,9;0;99,9;1.8
18;vp_zones+vwap_bands;squeeze_release;atr_multiple;rr_fixed;reenter_zone;volume_zscore;79,92;100;4;4;0;8;2;99,9;0;99,9;1.2
19;vp_zones+vwap_bands;squeeze_release;below_swing;next_swing;vwap_reverse+reenter_zone+squeeze_activate+timeout;vwap_position;79,92;100;4;4;0;4,22;1,055;99,9;0;99,9;7.5
20;vp_zones+vwap_bands;squeeze_release;below_swing;rr_fixed;squeeze_activate;volume_zscore;79,92;100;4;4;0;5,62;1,405;99,9;0;99,9;7.2
